Trial,entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,解の非唯一性考慮のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,解の非唯一性考慮のCommonGround_wᵁ_3
22,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
23,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
24,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
25,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
26,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
27,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
28,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
29,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
30,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
31,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
32,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
33,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
34,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
35,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
36,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
37,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
38,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
39,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
40,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
41,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
42,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
43,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
44,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
45,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
46,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
47,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
48,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
49,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
50,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
51,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
52,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
53,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
54,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
55,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
56,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
57,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
58,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
59,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
60,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
61,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
62,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
63,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
64,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
65,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
66,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
67,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
68,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
69,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
70,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
71,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
72,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
73,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
74,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
75,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
76,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
77,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
78,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
79,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
80,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
81,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
82,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
83,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
84,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
85,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
86,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
87,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
88,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
89,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
90,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
91,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
92,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
93,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
94,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
95,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
96,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
97,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
98,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
99,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
100,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
101,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
102,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
103,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
104,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
105,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
106,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
107,E,"[0.2702702702702703, 0.27027024118827403, 0.2702702702702703, 0.1351351262327317, 0.05405405405405406]",r,"[0.2702702702702703, 0.2702702702702703, 0.2702702702702703, 0.18918926774717232, 0.10810816648649833]",E,"[0.2702702702702703, 0.27027024118827403, 0.13513513513513514, 0.13513513513513514, 0.03861003861003861]",r,"[0.2702702702702703, 0.2702702702702703, 0.2702702702702703, 0.27027024118827403, 0.13513513513513514]",E,"[0.2702702702702703, 0.13513513513513514, 0.2702702702702703, 0.1351351262327317, 0.05405405405405406]",r,"[0.2702702702702703, 0.2702702702702703, 0.2702702702702703, 0.2702702702702703, 0.13513513513513514]",E,"[0.21621633297299667, 0.13513513513513514, 0.2702702702702703, 0.13513513513513514, 0.05405405405405406]",r,"[0.2702702702702703, 0.2702702702702703, 0.2702702702702703, 0.21621633297299667, 0.10810816648649833]"
108,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
109,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
110,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
111,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
112,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
113,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
114,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
115,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
116,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
117,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
118,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
119,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
120,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
121,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
122,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
123,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
124,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
125,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
126,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
127,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
128,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
129,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
130,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
131,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
132,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
133,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
134,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
135,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
136,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
137,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
138,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
139,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
140,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
141,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
142,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
143,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
144,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
145,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
146,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
147,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
148,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
149,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
150,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
151,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
152,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
153,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
154,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
155,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
156,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
157,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
158,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
159,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
160,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
161,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
162,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
163,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
164,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
165,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
166,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
167,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
168,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
169,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
170,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
171,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
172,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
173,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
174,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
175,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
176,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
177,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
178,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
179,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
180,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
181,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
182,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
183,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
184,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
185,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
186,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
187,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
188,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
189,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
190,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
191,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
192,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
193,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
194,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
195,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
196,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
197,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
198,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
199,"[0.2500000213559322, 0.21428566292977685, 0.2499999644067797, 0.12499998220338973, 0.08333331740112992]","[0.2500000107692311, 0.21428570505494474, 0.2500000107692311, 0.12499999727166179, 0.08333332840070039]","[0.2500000213559322, 0.2500000213559322, 0.2499999644067797, 0.2023809769572289, 0.1250000106779661]","[0.2500000107692311, 0.2500000107692311, 0.2500000107692311, 0.20238097996986326, 0.12500000538461556]","[0.25000000237288134, 0.12500000118644067, 0.2499999644067797, 0.12499998220338986, 0.08333331740112992]","[0.2500000107692311, 0.12500000538461556, 0.2500000107692311, 0.12500000538461556, 0.08333332840070039]","[0.25000000237288134, 0.2500000213559322, 0.2499999644067797, 0.2500000213559322, 0.1250000106779661]","[0.2500000107692311, 0.2500000107692311, 0.2500000107692311, 0.2500000107692311, 0.12500000538461556]","[0.2499999644067797, 0.1250000201694915, 0.2499999644067797, 0.12499998220338973, 0.03571428876513317]","[0.2500000107692311, 0.12500000538461556, 0.2500000107692311, 0.12499999727166179, 0.0357142872527473]","[0.250000040338983, 0.2500000213559322, 0.2499999644067797, 0.2499999644067797, 0.1250000106779661]","[0.2500000107692311, 0.2500000107692311, 0.2500000107692311, 0.2500000107692311, 0.12500000538461556]","[0.2500000213559322, 0.21428566292977685, 0.2499999644067797, 0.12499998220338986, 0.07142855430992562]","[0.2500000107692311, 0.21428570505494474, 0.2500000107692311, 0.12500000538461556, 0.07142856835164824]","[0.2500000213559322, 0.2500000213559322, 0.2499999644067797, 0.21428566292977685, 0.1250000106779661]","[0.2500000107692311, 0.2500000107692311, 0.2500000107692311, 0.21428570505494474, 0.12500000538461556]"
200,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
201,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
202,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
203,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
204,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
205,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
206,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
207,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
208,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
209,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
210,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
211,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
212,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
213,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
214,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
215,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
216,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
217,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
218,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
219,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
220,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
221,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
222,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
223,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
224,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
225,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
226,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
227,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
228,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
229,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
230,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
231,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
232,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
233,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
234,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
235,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
236,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
237,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
238,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
239,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
240,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
241,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
242,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
243,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
244,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
245,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
246,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
247,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
248,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
249,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
250,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
251,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
252,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
253,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
254,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
255,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
256,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
257,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
258,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
259,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
260,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
261,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
262,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
263,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
264,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
265,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
266,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
267,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
268,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
269,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
270,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
271,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
272,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
273,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
274,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
275,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
276,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
277,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
278,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
279,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
280,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
281,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
282,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
283,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
284,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
285,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
286,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
287,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
288,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
289,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
290,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
291,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
292,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
293,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
294,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
295,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
296,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
297,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
298,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
299,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
300,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
301,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
302,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
303,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
304,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
305,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
306,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
307,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
308,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
309,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
310,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
311,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
312,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
313,E,"[0.27027027266187204, 0.13513513633093602, 0.27027027266187204, 0.13513513633093602, 0.054054045683448036]",r,"[0.27027027266187204, 0.27027027266187204, 0.27027027266187204, 0.27027027266187204, 0.06756757990236877]",E,"[0.27027027266187204, 0.13513513633093602, 0.27027027266187204, 0.13513513633093602, 0.045045045443645335]",r,"[0.27027027266187204, 0.27027027266187204, 0.27027027266187204, 0.27027027266187204, 0.06756757990236877]",E,"[0.2702702599929541, 0.13513512999647706, 0.2702702599929541, 0.13513513633093602, 0.045045043332159015]",r,"[0.2702702599929541, 0.27027027266187204, 0.27027027266187204, 0.27027027266187204, 0.09009008666431803]",E,"[0.27027027266187204, 0.13513513633093602, 0.27027027266187204, 0.13513513633093602, 0.054054045683448036]",r,"[0.27027027266187204, 0.27027027266187204, 0.27027027266187204, 0.27027027266187204, 0.09009009088729067]"
314,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
315,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
316,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
317,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
318,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
319,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
320,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
321,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
322,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
323,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
324,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
325,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
326,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
327,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
328,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
329,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
330,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
331,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
332,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
333,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
334,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
335,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
336,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
337,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
338,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
339,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
340,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
341,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
342,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
343,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
344,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
