与えた重要度,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

実行回数,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],区間幅の総和
70,0.129408, 0.319206,0.085559, 0.316568,0.066363, 0.280830,0.017112, 0.193733,0.060542, 0.280830,0.024217, 0.225634,1.233601
71,0.114471, 0.343413,0.114471, 0.286178,0.062439, 0.223618,0.057236, 0.240389,0.057236, 0.240389,0.031219, 0.228942,1.125858
72,0.096990, 0.290970,0.096990, 0.307135,0.077592, 0.323300,0.077592, 0.273009,0.038796, 0.197783,0.025864, 0.193980,1.172353
73,0.082409, 0.302167,0.096741, 0.333220,0.069533, 0.296673,0.043628, 0.232685,0.043628, 0.278131,0.021498, 0.199684,1.285123
74,0.107146, 0.250453,0.142861, 0.333343,0.087304, 0.281313,0.048106, 0.208461,0.032071, 0.232149,0.047620, 0.229173,1.069783
75,0.182724, 0.304540,0.141307, 0.211960,0.155853, 0.277072,0.091362, 0.197951,0.091362, 0.189250,0.030454, 0.126167,0.613877
76,0.138820, 0.312345,0.104115, 0.286316,0.064071, 0.208230,0.075720, 0.254503,0.069410, 0.265020,0.023137, 0.198314,1.049456
77,0.086247, 0.258741,0.172494, 0.344988,0.086247, 0.223603,0.043123, 0.277222,0.050733, 0.202934,0.050733, 0.202934,1.020844
78,0.158834, 0.272286,0.109540, 0.222047,0.099271, 0.272995,0.099271, 0.272995,0.066181, 0.228323,0.024818, 0.173439,0.884171
79,0.149273, 0.306009,0.149273, 0.306009,0.091222, 0.191567,0.149273, 0.306009,0.037318, 0.157885,0.029855, 0.126308,0.787573
80,0.134574, 0.283314,0.080745, 0.252327,0.100931, 0.265303,0.080745, 0.290680,0.056073, 0.242234,0.022429, 0.190647,1.049009
81,0.186878, 0.327037,0.126143, 0.304845,0.098936, 0.236518,0.063071, 0.210238,0.046720, 0.197871,0.023360, 0.178384,0.909785
82,0.100895, 0.302684,0.078474, 0.279563,0.078474, 0.264849,0.060537, 0.302684,0.027697, 0.201790,0.039237, 0.263118,1.229375
83,0.184732, 0.338675,0.132251, 0.226716,0.092366, 0.246309,0.092366, 0.230915,0.092366, 0.199510,0.030789, 0.133007,0.750262
84,0.092077, 0.329942,0.120408, 0.351190,0.082384, 0.295211,0.041192, 0.205961,0.040136, 0.232350,0.027461, 0.181687,1.192682
85,0.099000, 0.291500,0.116769, 0.300264,0.079895, 0.267056,0.058385, 0.287500,0.039947, 0.239684,0.022000, 0.198000,1.168008
86,0.168573, 0.323098,0.168573, 0.295003,0.084287, 0.185774,0.084287, 0.238812,0.056191, 0.189645,0.042143, 0.163615,0.791893
87,0.144647, 0.330622,0.106075, 0.265187,0.106075, 0.265187,0.072324, 0.238668,0.048216, 0.192032,0.025663, 0.205306,0.994002
88,0.104128, 0.254789,0.147304, 0.313020,0.075493, 0.291907,0.050329, 0.218091,0.050329, 0.251644,0.026032, 0.216934,1.092771
89,0.102970, 0.214522,0.163332, 0.333470,0.163332, 0.333470,0.081666, 0.239554,0.027222, 0.170690,0.020417, 0.149354,0.882120
90,0.079994, 0.255982,0.103377, 0.363975,0.051689, 0.258443,0.055996, 0.274890,0.051689, 0.251982,0.027998, 0.223984,1.258513
91,0.110634, 0.350340,0.110634, 0.295024,0.055317, 0.226296,0.055317, 0.261498,0.055317, 0.214563,0.036878, 0.228182,1.151807
92,0.115964, 0.318901,0.115964, 0.260919,0.115964, 0.318901,0.057982, 0.221386,0.057982, 0.221386,0.028991, 0.165663,1.014307
93,0.137902, 0.321772,0.107923, 0.236404,0.091935, 0.245159,0.091935, 0.245159,0.045967, 0.251821,0.035974, 0.188048,0.976726
94,0.056249, 0.247497,0.131248, 0.301871,0.087499, 0.314996,0.065624, 0.257724,0.071590, 0.257724,0.026250, 0.181728,1.123080
95,0.110701, 0.276753,0.097677, 0.221402,0.166052, 0.343555,0.048839, 0.207564,0.083026, 0.207564,0.041513, 0.195355,0.904386
96,0.160007, 0.344014,0.083813, 0.266678,0.051431, 0.228985,0.051431, 0.260582,0.040002, 0.267440,0.013458, 0.232159,1.199717
97,0.125264, 0.319423,0.125264, 0.319423,0.125264, 0.319423,0.062632, 0.213575,0.031316, 0.152294,0.025053, 0.181070,1.010416
98,0.124619, 0.342703,0.099695, 0.267041,0.083080, 0.276932,0.041540, 0.205255,0.049848, 0.249239,0.031155, 0.228893,1.140127
