Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
44,3,0.972222222,0.972222222,1.029411765,0.277777778,0.285714286,0.277777778,0.294117647,0.085470038,0.098039172,1,,,,,FALSE,44
45,1,0.977631579,1,1,0.360526316,0.366197183,0.366197183,0.366197183,,,,,,,,45,FALSE
45,2,0.976190476,1,1,0.238095238,0.242424242,0.242424242,0.242424242,,,,,,,,45,FALSE
45,3,0.941666667,0.990740741,1.009433962,0.35,0.355140187,0.351851852,0.358490566,0.165413148,0.197609539,1,,,,,45,FALSE
47,1,0.909090909,1,1,0.327272727,0.347826087,0.347826087,0.347826087,,,,,,,,47,FALSE
47,2,0.944444444,1,1,0.277777778,0.277777778,0.277777778,0.277777778,,,,,,,,FALSE,47
47,3,0.916666667,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0,0.144927056,1,,,,,FALSE,47
49,1,0.921717172,1,1,0.398989899,0.411177645,0.411177645,0.411177645,,,,,,,,49,FALSE
49,2,1,1,1,0.256410256,0.256410256,0.256410256,0.256410256,,,,,,,,FALSE,49
49,3,0.925,0.991666667,1.008474576,0.35,0.352941176,0.35,0.355932203,0.013985756,0.103178153,1,,,,,FALSE,49
50,1,0.93452381,0.982142857,1.018518519,0.369047619,0.375757576,0.369047619,0.382716049,,,,,,,,FALSE,50
50,2,0.931818182,1,1,0.318181818,0.333333333,0.333333333,0.333333333,,,,,,,,50,FALSE
50,3,0.979166667,1,1,0.375,0.376811594,0.376811594,0.376811594,0.071428408,0.188405519,0.999999973,,,,,50,FALSE
51,1,1,1,1,0.32183908,0.32183908,0.32183908,0.32183908,,,,,,,,FALSE,51
51,2,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,51
51,3,1,1,1,0.270833333,0.270833333,0.270833333,0.270833333,0.060703853,0.060703904,0.994818656,,,,,FALSE,51
52,1,0.919354839,0.935483871,1.074074074,0.35483871,0.379310345,0.35483871,0.407407407,,,,,,,,FALSE,52
52,2,0.931818182,1,1,0.318181818,0.333333333,0.333333333,0.333333333,,,,,,,,52,FALSE
52,3,0.945945946,1,1,0.351351351,0.354716981,0.354716981,0.354716981,0.103193643,0.109432682,1,,,,,52,FALSE
55,1,0.953703704,1,1,0.314814815,0.325581395,0.325581395,0.325581395,,,,,,,,55,FALSE
55,2,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,55
55,3,0.976190476,1,1,0.238095238,0.242424242,0.242424242,0.242424242,0.021163891,0.092729246,0.994045588,,,,,55,FALSE
56,1,0.976190476,1,1,0.238095238,0.242424242,0.242424242,0.242424242,,,,,,,,56,FALSE
56,2,0.972222222,1,1,0.222222222,0.222222222,0.222222222,0.222222222,,,,,,,,FALSE,56
56,3,0.913690476,0.972222222,1.029411765,0.386904762,0.4,0.388888889,0.411764706,0.047618988,0.07575747,0.992481211,,,,,56,FALSE
57,1,0.96875,0.96875,1.033333333,0.3125,0.322580645,0.3125,0.333333333,,,,,,,,FALSE,57
57,2,0.954365079,0.954365079,1.050218341,0.313492063,0.328482328,0.313492063,0.344978166,,,,,,,,FALSE,57
57,3,0.94047619,0.977272727,1.023809524,0.404761905,0.418604651,0.409090909,0.428571429,0.186507701,0.193939298,1,,,,,57,FALSE
59,1,0.926315789,1,1,0.357894737,0.363636364,0.363636364,0.363636364,,,,,,,,59,FALSE
59,2,0.982142857,1,1,0.321428571,0.321428571,0.321428571,0.321428571,,,,,,,,FALSE,59
59,3,0.947368421,1,1,0.350877193,0.352941176,0.352941176,0.352941176,0.075187604,0.102314063,0.999803744,,,,,59,FALSE
62,1,0.916666667,0.976190476,1.025,0.333333333,0.341463415,0.333333333,0.35,,,,,,,,FALSE,62
62,2,1,1,1,0.233333333,0.233333333,0.233333333,0.233333333,,,,,,,,FALSE,62
62,3,0.938888889,1,1,0.322222222,0.322222222,0.322222222,0.322222222,0.061904687,0.101851694,0.999074927,,,,,FALSE,62
63,1,0.941558442,1,1,0.350649351,0.352941176,0.352941176,0.352941176,,,,,,,,63,FALSE
63,2,0.938888889,1,1,0.322222222,0.322222222,0.322222222,0.322222222,,,,,,,,FALSE,63
63,3,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.125540706,0.098038796,1,,,,,FALSE,63
66,1,1,1,1,0.222222222,0.222222222,0.222222222,0.222222222,,,,,,,,FALSE,66
66,2,0.953846154,1,1,0.323076923,0.323076923,0.323076923,0.323076923,,,,,,,,FALSE,66
66,3,1,1,1,0.280701754,0.280701754,0.280701754,0.280701754,0.19118238,0.211515788,0.995967772,,,,,FALSE,66
67,1,1,1,1,0.233333333,0.233333333,0.233333333,0.233333333,,,,,,,,FALSE,67
67,2,0.952380952,0.979166667,1.02173913,0.285714286,0.29787234,0.291666667,0.304347826,,,,,,,,67,FALSE
67,3,0.953703704,1,1,0.314814815,0.325581395,0.325581395,0.325581395,0.044708718,0.127855571,1.005260053,,,,,67,FALSE
68,1,0.929166667,0.976851852,1.024271845,0.375,0.388625592,0.37962963,0.398058252,,,,,,,,68,FALSE
68,2,0.927083333,0.976190476,1.025,0.333333333,0.341463415,0.333333333,0.35,,,,,,,,FALSE,68
68,3,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0,0.099999741,1,,,,,FALSE,68
70,1,0.958333333,1,1,0.316666667,0.316666667,0.316666667,0.316666667,,,,,,,,FALSE,70
70,2,0.94017094,1,1,0.273504274,0.29048414,0.29048414,0.29048414,,,,,,,,70,FALSE
