PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
217,12.4973425803794,13.350923687668102,12.52199193161604,Error,Error,Error,2.181921459078665,2.4713350912266696,1.5870806433733913
218,10.022100574476841,10.302974886661247,10.022099681911845,3.3806934665037147e-6,3.556466099396971e-6,7.527751074931643e-6,0.0,0.08635755767453368,0.0
219,16.790111759755167,31.66688282547553,17.188984822408557,Error,Error,Error,0.9760018797086518,2.6358939039332627,1.9401040735607804
220,12.765906561894306,14.041782926784197,12.765906167215164,Error,Error,Error,1.6174462536958778,1.7965928008565761,1.604130235472649
221,12.454058983719916,12.9808101808324,12.454059302956072,Error,Error,2.5177319401965965,1.9508088601646634,0.34651684422774576,0.0
222,14.64116401040867,15.169547322387487,14.48428380783325,Error,Error,Error,5.0316261192775364,4.806258644829472,2.9486547982493514
223,13.441498779725617,14.615405852032392,12.938494561417793,Error,Error,Error,3.137985219329064,2.367073946390483,1.7951558033287025
224,15.01366876057406,17.2164448564671,15.655039391732728,Error,Error,Error,0.5718915862960401,2.694867250789537,1.5056294603677474
225,13.81776567702932,14.486186384906683,14.351887853111355,Error,Error,Error,2.378039986415409,2.542111716319325,2.3780320617346398
226,10.219593807601,13.414033107913735,10.376476069671746,2.171796008982409,2.171796008982403,Error,0.0,0.5136635567206884,0.30784249056776325
227,11.786445379421526,12.896970300775823,11.54762201861795,Error,Error,Error,1.4625227974145076,2.001453185233788,1.4885818767765802
228,11.38414306262022,12.534869966112636,11.384143179856398,Error,Error,Error,1.792560375685035,3.066374259668173,2.508647623450341
229,12.032616750210181,76.53033375158208,12.032617069062244,Error,Error,Error,2.092989845058238,2.466063263160869,2.0929905504750668
230,10.076961648841753,10.12703129427561,10.076961724698009,Error,Error,Error,0.5257255827220462,0.7016974879165865,0.5157233484409334
231,11.76897254488794,12.214717343766155,11.768973314537876,Error,Error,Error,0.6166002246149107,2.123303319597966,0.616600862910655
232,15.674175821309465,78.89231383135717,15.674175816847171,Error,Error,Error,1.830504689060576,1.7044814971144628,1.8305075634229002
233,14.782635500560719,16.493216248334623,14.933596400476937,Error,Error,Error,1.462523140271867,2.3422768623405963,1.462523414557463
234,11.70384829421195,12.57798628886731,12.116585752119596,Error,Error,Error,0.5949222301803463,1.325470025732093,1.0048764529048055
235,12.631897486294827,13.730062811654149,12.054004944541505,Error,Error,Error,1.2271216046413729,1.3493011320810604,0.4888958573253479
236,11.178319971888726,12.805488257714735,11.178321550214772,Error,Error,Error,0.7864069769073874,0.9558435371130285,0.7387174682858957
237,15.94055324795859,19.41917787021466,15.851712452730865,Error,Error,Error,1.4213116625892583,1.8149223374634857,1.3266074676574613
238,14.059614880360618,14.64286980423121,14.059615124875208,Error,Error,Error,0.754987073428409,0.99114941556999,0.7549871756135893
239,8.422602254469153,8.405295227067633,7.969720039703563,Error,Error,2.07297630705483e-6,0.5877561280673698,0.19515826882726195,0.0
240,10.930872284752358,11.71171994991879,10.930872853916625,Error,Error,Error,0.6942723022610204,1.3128106110229467,0.6942728177195798
