Trial,PCM,式1の解の中心の総和,式5の解に対するt_L,式1の最適値,式5の最適値とt_Lの積,式1の最適値と式1の解の中心の総和の商,式5の最適値
19,3,0.9285714285714282,1.0000000000000002,0.3333333333333335,0.33333333333333465,0.3589743589743593,0.3333333333333346
20,1,0.9999999999999996,1.0,0.2272727272727277,0.22727272727272751,0.22727272727272782,0.22727272727272751
20,2,0.9499999999999994,1.0000000000000002,0.4,0.4,0.4210526315789477,0.3999999999999999
20,3,0.9791666666666661,1.0,0.2916666666666673,0.2916666666666662,0.29787234042553273,0.2916666666666662
21,1,0.9642857142857142,1.0000000000000002,0.3095238095238103,0.30952380952381026,0.3209876543209885,0.3095238095238102
21,2,0.9761904761904754,1.0,0.23809523809523786,0.23809523809523814,0.2439024390243902,0.23809523809523814
21,3,0.9937499999999999,0.9999999999999996,0.23750000000000127,0.23749999999999993,0.2389937106918252,0.23750000000000004
22,1,0.9916666666666657,0.9916666666666667,0.21666666666666726,0.216666666666667,0.218487394957984,0.21848739495798353
22,2,0.9838709677419355,1.0,0.22580645161290347,0.22580645161290325,0.22950819672131173,0.22580645161290325
22,3,0.9999999999999996,1.0,0.2272727272727277,0.22727272727272751,0.22727272727272782,0.22727272727272751
23,1,0.9464285714285715,0.9999999999999998,0.3928571428571431,0.3928571428571431,0.41509433962264175,0.39285714285714324
23,2,0.999999999999999,1.0,0.18181818181818257,0.18181818181818188,0.18181818181818277,0.18181818181818188
23,3,0.9555555555555556,1.0,0.28888888888888864,0.3015873015873025,0.30232558139534854,0.3015873015873025
24,1,1.0,1.0,0.2056074766355137,0.20560747663551382,0.2056074766355137,0.20560747663551382
24,2,0.9549999999999996,1.0000000000000002,0.2900000000000015,0.2900000000000003,0.30366492146597024,0.29000000000000026
24,3,1.0000000000000007,1.0,0.3529411764705891,0.3529411764705884,0.35294117647058887,0.3529411764705884
25,1,0.9523809523809519,1.0,0.3809523809523809,0.3859649122807022,0.40000000000000013,0.3859649122807022
25,2,0.9833333333333327,1.0,0.3000000000000018,0.2999999999999996,0.3050847457627139,0.2999999999999996
25,3,0.952631578947368,1.0,0.3578947368421055,0.35789473684210504,0.375690607734807,0.35789473684210504
27,1,0.9305555555555554,1.0,0.3055555555555558,0.3055555555555557,0.3283582089552242,0.3055555555555557
27,2,0.9750000000000001,1.0000000000000004,0.25000000000000056,0.25000000000000056,0.25641025641025694,0.25000000000000044
27,3,0.9696969696969691,0.96969696969697,0.24242424242424204,0.24242424242424238,0.24999999999999978,0.2499999999999999
28,1,0.9791666666666661,1.0000000000000002,0.2916666666666674,0.2916666666666668,0.29787234042553284,0.29166666666666674
28,2,0.9591836734693868,0.9795918367346929,0.2857142857142826,0.2857142857142858,0.29787234042552896,0.2916666666666671
28,3,0.9999999999999993,1.0,0.16216216216216245,0.16216216216216306,0.16216216216216256,0.16216216216216306
