Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式1の最適値,式10の最適値とt_Lの積,式1の最適値と式1の解の中心の総和の商,式10の最適値
33,2,0.9218749999999996,1.0,0.40624999999999933,0.4065040650406502,0.4406779661016944,0.4065040650406502
33,3,0.9736842105263159,0.9999999999999996,0.4035087719298245,0.4074074074074075,0.4144144144144143,0.40740740740740766
34,1,0.999999999999997,1.0,0.24242424242424382,0.24242424242424265,0.24242424242424454,0.24242424242424265
34,2,0.9655172413793079,0.9655172413793127,0.27586206896551607,0.27586206896551607,0.2857142857142852,0.2857142857142838
34,3,0.9999999999999998,0.9999999999999998,0.2574257425742579,0.25742574257425727,0.25742574257425793,0.2574257425742573
38,1,0.9687499999999998,0.9687499999999996,0.31250000000000033,0.3125,0.32258064516129076,0.3225806451612905
38,2,1.0,1.0000000000000002,0.22727272727272801,0.22727272727272757,0.22727272727272801,0.22727272727272751
38,3,0.9629629629629627,0.9999999999999996,0.2222222222222229,0.2298850574712682,0.23076923076923153,0.2298850574712683
40,1,1.0,1.0,0.19354838709677386,0.19354838709677402,0.19354838709677386,0.19354838709677402
40,2,0.9642857142857144,0.9642857142857141,0.3571428571428574,0.3571428571428568,0.37037037037037057,0.37037037037037013
40,3,0.9444444444444438,1.0000000000000004,0.222222222222223,0.22222222222222243,0.2352941176470598,0.22222222222222232
45,1,1.0,1.0000000000000007,0.21818181818181714,0.21818181818181884,0.21818181818181714,0.2181818181818187
45,2,0.894927536231884,0.9999999999999998,0.4130434782608696,0.4347826086956518,0.4615384615384616,0.4347826086956519
45,3,0.9622093023255813,0.990740740740741,0.23837209302325663,0.24074074074074062,0.24773413897281052,0.24299065420560728
46,1,0.9142857142857144,0.9333333333333333,0.3999999999999998,0.40000000000000024,0.4374999999999997,0.4285714285714288
46,2,0.9545454545454541,0.9545454545454545,0.27272727272727393,0.2727272727272728,0.2857142857142871,0.2857142857142858
46,3,0.9195402298850576,0.9375,0.36781609195402326,0.37500000000000033,0.40000000000000024,0.40000000000000036
48,1,0.9642857142857143,1.0000000000000002,0.21428571428571447,0.21428571428571447,0.2222222222222224,0.2142857142857144
48,2,0.9833333333333336,1.0,0.3333333333333335,0.3333333333333335,0.33898305084745767,0.3333333333333335
48,3,0.9999999999999998,1.0000000000000007,0.04444444444444513,0.044444444444444536,0.04444444444444514,0.04444444444444451
49,1,0.9411764705882352,1.0,0.35294117647058837,0.3733333333333333,0.37500000000000017,0.3733333333333333
49,2,0.9416666666666667,1.0,0.3166666666666665,0.33333333333333337,0.33628318584070777,0.33333333333333337
49,3,0.9999999999999994,0.9999999999999998,0.1798941798941806,0.17989417989417997,0.17989417989418072,0.17989417989418
50,1,0.9545454545454541,0.9545454545454545,0.27272727272727393,0.2727272727272728,0.2857142857142871,0.2857142857142858
50,2,0.9861111111111114,0.9999999999999998,0.3055555555555557,0.30555555555555575,0.3098591549295775,0.3055555555555558
50,3,0.9999999999999999,0.9999999999999996,0.15111111111111142,0.15111111111111103,0.15111111111111145,0.15111111111111108
51,1,1.0,1.0000000000000002,0.2409638554216866,0.2409638554216868,0.2409638554216866,0.24096385542168675
51,2,0.9999999999999998,1.0000000000000004,0.26666666666666666,0.2666666666666665,0.2666666666666667,0.2666666666666664
51,3,0.9999999999999998,1.0,0.2089552238805956,0.20895522388059606,0.20895522388059565,0.20895522388059606
54,1,1.0000000000000009,0.9999999999999998,0.24242424242424204,0.24242424242424193,0.24242424242424182,0.242424242424242
54,2,1.0,1.0,0.24390243902439057,0.24390243902439024,0.24390243902439057,0.24390243902439024
54,3,0.9999999999999998,1.0000000000000009,0.20833333333333365,0.20833333333333612,0.2083333333333337,0.20833333333333592
55,1,1.0000000000000004,1.0,0.2666666666666665,0.2666666666666666,0.2666666666666664,0.2666666666666666
55,2,0.9866666666666664,0.986666666666667,0.22666666666666713,0.2266666666666663,0.22972972972973027,0.22972972972972927
55,3,0.9333333333333327,1.0000000000000002,0.33333333333333337,0.34782608695652156,0.35714285714285743,0.3478260869565215
56,1,1.0,0.9999999999999991,0.21818181818181714,0.21818181818182028,0.21818181818181714,0.21818181818182047
