Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
38,2,0.988888889,0.988888889,1.011363636,0.288888889,0.292134831,0.288888889,0.295454545,,,,,,,,FALSE,38
38,3,0.935028249,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.566594443,0.589826772,0.985600005,,,,,FALSE,38
40,1,1,1,1,0.347826087,0.347826087,0.347826087,0.347826087,,,,,,,,FALSE,40
40,2,1,1,1,0.285714286,0.285714286,0.285714286,0.285714286,,,,,,,,FALSE,40
40,3,0.952380952,1,1,0.285714286,0.285714286,0.285714286,0.285714286,0.544513236,0.569358053,0.998965866,,,,,FALSE,40
41,1,0.939130435,0.982608696,1.018018018,0.382608696,0.389380531,0.382608696,0.396396396,,,,,,,,FALSE,41
41,2,1,1,1,0.264705882,0.264705882,0.264705882,0.264705882,,,,,,,,FALSE,41
41,3,1,1,1,0.051948052,0.051948052,0.051948052,0.051948052,0.639874392,0.665449869,1.008157145,,,,,FALSE,41
45,1,0.96969697,1,1,0.303030303,0.307692308,0.307692308,0.307692308,,,,,,,,45,FALSE
45,2,0.97826087,0.97826087,1.022727273,0.304347826,0.311111111,0.304347826,0.318181818,,,,,,,,FALSE,45
45,3,0.97826087,1,1,0.173913043,0.173913043,0.173913043,0.173913043,0.517786205,0.551839154,1.00504198,,,,,FALSE,45
47,1,0.976190476,1,1,0.238095238,0.238095238,0.238095238,0.238095238,,,,,,,,FALSE,47
47,2,0.975,1,1,0.2,0.2,0.2,0.2,,,,,,,,FALSE,47
47,3,1,1,1,0.158730159,0.158730159,0.158730159,0.158730159,0.517460227,0.55436497,0.981117399,,,,,FALSE,47
48,1,0.964285714,1,1,0.214285714,0.214285714,0.214285714,0.214285714,,,,,,,,FALSE,48
48,2,1,1,1,0.192592593,0.192592593,0.192592593,0.192592593,,,,,,,,FALSE,48
48,3,0.946969697,1,1,0.287878788,0.287878788,0.287878788,0.287878788,0.492207671,0.532250981,0.985600016,,,,,FALSE,48
50,1,0.984848485,1,1,0.212121212,0.212121212,0.212121212,0.212121212,,,,,,,,FALSE,50
50,2,0.990909091,1,1,0.2,0.2,0.2,0.2,,,,,,,,FALSE,50
50,3,0.974358974,1,1,0.205128205,0.205128205,0.205128205,0.205128205,0.477855458,0.503496446,0.953545257,,,,,FALSE,50
53,1,1,1,1,0.213333333,0.213333333,0.213333333,0.213333333,,,,,,,,FALSE,53
53,2,0.977272727,1,1,0.227272727,0.229508197,0.229508197,0.229508197,,,,,,,,53,FALSE
53,3,1,1,1,0.088235294,0.088235294,0.088235294,0.088235294,0.470089002,0.489463074,0.989113713,,,,,FALSE,53
55,1,1,1,1,0.204545455,0.204545455,0.204545455,0.204545455,,,,,,,,FALSE,55
55,2,1,1,1,0.17989418,0.17989418,0.17989418,0.17989418,,,,,,,,FALSE,55
55,3,0.971544715,1,1,0.349593496,0.35862069,0.35862069,0.35862069,0.493259933,0.513840978,0.981990905,,,,,55,FALSE
56,1,0.962962963,0.993421053,1.006666667,0.222222222,0.225165563,0.223684211,0.226666667,,,,,,,,56,FALSE
56,2,1,1,1,0.242424242,0.242424242,0.242424242,0.242424242,,,,,,,,FALSE,56
56,3,0.982608696,1,1,0.165217391,0.165217391,0.165217391,0.165217391,0.405357828,0.460893631,0.977262627,,,,,FALSE,56
58,1,0.99,1,1,0.32,0.32,0.32,0.32,,,,,,,,FALSE,58
58,2,0.979166667,1,1,0.166666667,0.166666667,0.166666667,0.166666667,,,,,,,,FALSE,58
58,3,0.986842105,0.986842105,1.013513514,0.236842105,0.24,0.236842105,0.243243243,0.606578586,0.618333049,0.95617553,,,,,FALSE,58
62,1,1,1,1,0.2,0.2,0.2,0.2,,,,,,,,FALSE,62
62,2,0.97826087,0.97826087,1.022727273,0.304347826,0.311111111,0.304347826,0.318181818,,,,,,,,FALSE,62
