Trial,PCM,t_L,t_U
699,2,0.9523809523809533,1.0526315789473684
699,3,1.0,1.0
700,1,1.0,1.0
700,2,0.953125,1.0517241379310345
700,3,1.0,1.0000000000000007
701,1,1.0000000000000002,0.9999999999999998
701,2,1.0,1.0000000000000004
701,3,1.0000000000000004,1.0000000000000002
702,1,1.0,1.0
702,2,0.9347826086956522,1.0749999999999997
702,3,0.9758064516129027,1.0254237288135601
703,1,1.0000000000000004,1.0
703,2,0.9846938775510206,1.015789473684211
703,3,0.9761904761904766,1.025
704,1,0.9565217391304355,1.047619047619048
704,2,1.0000000000000002,0.9999999999999996
704,3,1.0000000000000002,1.0000000000000002
705,1,0.9999999999999982,1.0000000000000016
705,2,1.0,1.0000000000000002
705,3,0.9999999999999996,1.0000000000000002
706,1,1.0000000000000002,1.0
706,2,1.0000000000000002,1.0
706,3,1.0000000000000002,1.0
707,1,1.0,1.000000000000001
707,2,0.9687500000000002,1.0333333333333334
707,3,1.0,1.0000000000000004
708,1,0.9807692307692304,1.02
708,2,0.9999999999999998,1.0000000000000002
708,3,1.0,1.0
709,1,1.0,1.0
709,2,1.0,1.0
709,3,0.9761904761904762,1.0250000000000004
710,1,0.9838709677419357,1.0166666666666666
710,2,0.9862068965517246,1.0141843971631208
710,3,1.0,1.0000000000000002
711,1,1.0,1.0000000000000009
711,2,0.9999999999999996,1.0000000000000004
711,3,0.9833333333333336,1.017241379310345
712,1,0.9266666666666667,1.0859375
712,2,1.0,1.0
712,3,0.9833333333333336,1.017241379310345
713,1,0.9999999999999998,1.0000000000000002
713,2,0.9687500000000002,1.0333333333333334
713,3,1.0,0.9999999999999996
714,1,1.0000000000000002,1.0000000000000029
714,2,0.9862068965517243,1.0141843971631215
714,3,1.0000000000000002,0.9999999999999996
715,1,0.9642857142857143,1.0384615384615385
715,2,0.9603448275862072,1.0430711610486896
715,3,1.0,1.0000000000000002
716,1,0.9880952380952379,1.0121951219512197
716,2,1.0000000000000004,0.9999999999999998
716,3,0.9999999999999978,1.0000000000000029
717,1,0.9642857142857143,1.0384615384615385
717,2,1.0000000000000002,0.9999999999999998
717,3,0.9750000000000001,1.0263157894736843
718,1,0.916666666666667,1.0999999999999999
718,2,0.9687500000000009,1.0333333333333332
718,3,1.0,1.0000000000000002
719,1,1.0000000000000002,1.0000000000000002
719,2,0.9700000000000003,1.0319148936170215
719,3,1.0000000000000002,1.0
720,1,0.9999999999999987,1.000000000000001
720,2,0.9700000000000001,1.0319148936170215
720,3,0.9999999999999998,1.0000000000000004
721,1,1.0,1.0
721,2,0.9871794871794881,1.0131578947368411
721,3,0.9862068965517246,1.0141843971631208
722,1,1.0000000000000007,1.000000000000001
722,2,0.9687499999999996,1.0333333333333339
722,3,0.9999999999999998,1.0000000000000004
723,1,1.0,1.0
723,2,0.9999999999999998,1.0
723,3,0.9999999999999996,1.0000000000000004
724,1,0.9333333333333333,1.0769230769230773
724,2,1.0,1.0000000000000004
724,3,1.0,1.0000000000000002
725,1,0.9687499999999998,1.0333333333333334
725,2,0.9999999999999998,1.0000000000000002
725,3,0.9888888888888897,1.0113636363636362
726,1,1.0,1.0000000000000002
726,2,1.0000000000000002,0.9999999999999998
726,3,1.0,1.0000000000000004
727,1,1.0000000000000007,1.0000000000000002
727,2,1.0000000000000004,1.0
727,3,1.0,1.000000000000001
728,1,1.0,1.0000000000000002
728,2,0.9999999999999998,1.0000000000000002
728,3,1.0,1.0
729,1,1.0000000000000004,1.000000000000001
729,2,0.9375,1.0714285714285716
729,3,0.9999999999999998,1.0000000000000002
730,1,1.0,1.0000000000000042
730,2,1.0,1.0
730,3,1.0000000000000007,0.9999999999999996
731,1,0.9866666666666664,1.0136986301369866
731,2,1.0000000000000002,1.0000000000000004
731,3,1.0000000000000002,1.0
732,1,0.9999999999999996,1.0000000000000004
732,2,1.0000000000000004,1.0000000000000004
732,3,0.9677419354838714,1.03448275862069
733,1,1.0000000000000002,1.0000000000000002
733,2,0.9999999999999996,1.0000000000000004
733,3,1.0000000000000004,1.0
734,1,1.0,1.0000000000000004
734,2,0.9791666666666665,1.0217391304347827
734,3,1.0000000000000002,0.9999999999999998
735,1,1.0,1.0000000000000007
735,2,0.9699999999999996,1.0319148936170217
