Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
10,1,0.5,0.5,0.3333333333333333,1.0,1.0,,0.07692307692307705,0.23076923076923073
10,1,1.0,1.0,1.0,1.0,1.0,,0.23076923076923028,0.23076923076923028

10,2,1.0,2.0,1.0,1.0,1.0,,0.22222222222222224,0.22222222222222232
10,2,0.5,1.0,1.0,2.0,1.0,,0.11111111111111087,0.22222222222222202
10,2,1.0,1.0,1.0,2.0,1.0,,0.22222222222222218,0.22222222222222218
10,2,1.0,0.5,0.5,1.0,1.0,,0.11111111111111116,0.22222222222222235
10,2,1.0,1.0,1.0,1.0,1.0,,0.2222222222222223,0.22222222222222232

11,1,1.0,1.0,2.0,1.0,1.0,,0.22222222222222232,0.2222222222222226
11,1,1.0,1.0,2.0,2.0,1.0,,0.22222222222222163,0.22222222222222254
11,1,0.5,0.5,1.0,2.0,1.0,,0.11111111111111133,0.2222222222222222
11,1,1.0,0.5,0.5,1.0,1.0,,0.11111111111111127,0.22222222222222243
11,1,1.0,1.0,1.0,1.0,1.0,,0.22222222222222143,0.22222222222222143

11,2,1.0,1.0,1.0,1.0,1.0,,0.19999999999999996,0.19999999999999996
11,2,1.0,1.0,2.0,2.0,1.0,,0.2,0.2666666666666667
11,2,1.0,0.5,1.0,1.0,1.0,,0.13333333333333344,0.20000000000000004
11,2,1.0,0.5,1.0,1.0,1.0,,0.1333333333333333,0.2000000000000001
11,2,1.0,1.0,1.0,1.0,1.0,,0.19999999999999996,0.19999999999999996

12,1,1.0,1.0,1.0,1.0,1.0,,0.19999999999999954,0.20000000000000012
12,1,1.0,1.0,2.0,3.0,1.0,,0.20000000000000004,0.29999999999999993
12,1,1.0,0.5,1.0,1.0,1.0,,0.14999999999999983,0.1999999999999996
12,1,1.0,0.3333333333333333,1.0,1.0,1.0,,0.10000000000000023,0.2000000000000001
12,1,1.0,1.0,1.0,1.0,1.0,,0.20000000000000004,0.20000000000000004

12,2,1.0,1.0,2.0,2.0,1.0,,0.27272727272727404,0.27272727272727443
12,2,1.0,1.0,3.0,3.0,1.0,,0.2727272727272717,0.2727272727272717
12,2,0.5,0.3333333333333333,1.0,1.0,1.0,,0.0909090909090903,0.15151515151515108
12,2,0.5,0.3333333333333333,1.0,1.0,1.0,,0.0909090909090906,0.15151515151515146
12,2,1.0,1.0,1.0,1.0,1.0,,0.1515151515151513,0.2727272727272727

13,1,1.0,2.0,1.0,2.0,2.0,,0.28571428571428564,0.2857142857142858
13,1,0.5,1.0,2.0,1.0,1.0,,0.14285714285714288,0.28571428571428553
13,1,1.0,0.5,1.0,2.0,1.0,,0.14285714285714257,0.28571428571428564
13,1,0.5,1.0,0.5,1.0,1.0,,0.1428571428571429,0.14285714285714296
13,1,0.5,1.0,1.0,1.0,1.0,,0.14285714285714268,0.14285714285714268

13,2,1.0,2.0,1.0,2.0,1.0,,0.2222222222222218,0.22222222222222232
13,2,0.5,1.0,1.0,2.0,1.0,,0.11111111111111154,0.22222222222222224
13,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222235,0.2222222222222224
13,2,0.5,0.5,1.0,1.0,1.0,,0.11111111111111116,0.22222222222222168
13,2,1.0,1.0,1.0,1.0,1.0,,0.2222222222222221,0.2222222222222221

14,1,1.0,1.0,1.0,1.0,1.0,,0.22222222222222207,0.22222222222222232
14,1,1.0,1.0,2.0,1.0,1.0,,0.22222222222222218,0.22222222222222218
14,1,1.0,0.5,1.0,2.0,1.0,,0.11111111111111091,0.22222222222222202
14,1,1.0,1.0,0.5,1.0,1.0,,0.11111111111111116,0.22222222222222218
14,1,1.0,1.0,1.0,1.0,1.0,,0.22222222222222232,0.22222222222222232

14,2,1.0,2.0,1.0,2.0,1.0,,0.23684210526315733,0.2368421052631576
14,2,0.5,1.0,2.0,1.0,1.0,,0.11842105263157865,0.21052631578947414
14,2,1.0,0.5,1.0,3.0,1.0,,0.10526315789473698,0.23684210526315794
14,2,0.5,1.0,0.3333333333333333,1.0,1.0,,0.07894736842105243,0.21052631578947315
14,2,1.0,1.0,1.0,1.0,1.0,,0.2105263157894741,0.23684210526315785

15,1,1.0,1.0,1.0,1.0,1.0,,0.22222222222222227,0.22222222222222227
15,1,1.0,1.0,4.0,2.0,1.0,,0.22222222222222227,0.26666666666666744
15,1,1.0,0.25,1.0,2.0,1.0,,0.06666666666666686,0.2222222222222224
15,1,1.0,0.5,0.5,1.0,1.0,,0.11111111111111072,0.22222222222222096
15,1,1.0,1.0,1.0,1.0,1.0,,0.2222222222222221,0.2222222222222223

15,2,1.0,2.0,2.0,2.0,1.0,,0.27272727272727293,0.27272727272727354
15,2,0.5,1.0,2.0,2.0,1.0,,0.13636363636363663,0.18181818181818152
15,2,0.5,0.5,1.0,2.0,1.0,,0.09090909090909075,0.18181818181818157
15,2,0.5,0.5,0.5,1.0,1.0,,0.09090909090909094,0.18181818181818185
15,2,1.0,1.0,1.0,1.0,1.0,,0.18181818181818146,0.2727272727272726

16,1,1.0,1.0,1.0,2.0,1.0,,0.1999999999999994,0.1999999999999998
16,1,1.0,1.0,2.0,4.0,1.0,,0.1999999999999998,0.31999999999999984
16,1,1.0,0.5,1.0,2.0,1.0,,0.16000000000000048,0.2000000000000011
16,1,0.5,0.25,0.5,1.0,1.0,,0.07999999999999996,0.1999999999999995
16,1,1.0,1.0,1.0,1.0,1.0,,0.19999999999999973,0.19999999999999982

16,2,1.0,1.0,1.0,2.0,1.0,,0.1999999999999995,0.2666666666666667
16,2,1.0,1.0,1.0,1.0,1.0,,0.19999999999999962,0.19999999999999962
16,2,1.0,1.0,1.0,1.0,1.0,,0.19999999999999973,0.2000000000000004
