Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
3,3,0.5,1.0,1.0,2.0,2.0,,0.2142857142857134,0.2142857142857144
3,3,0.3333333333333333,1.0,1.0,3.0,4.0,,0.14285714285714235,0.21428571428571364
3,3,0.25,0.5,0.3333333333333333,1.0,2.0,,0.07142857142857122,0.10714285714285726
3,3,0.14285714285714285,0.5,0.25,0.5,1.0,,0.05357142857142866,0.10714285714285683

4,1,1.0,3.0,3.0,2.0,3.0,,0.41379310344827525,0.41379310344827674
4,1,0.3333333333333333,1.0,1.0,2.0,1.0,,0.13793103448275892,0.1793103448275856
4,1,0.3333333333333333,1.0,1.0,2.0,1.0,,0.13793103448275898,0.17931034482758643
4,1,0.5,0.5,0.5,1.0,2.0,,0.08965517241379295,0.20689655172413793
4,1,0.3333333333333333,1.0,1.0,0.5,1.0,,0.1034482758620687,0.13793103448275834

4,2,1.0,4.0,2.0,4.0,3.0,,0.428571428571428,0.42857142857142816
4,2,0.25,1.0,1.0,1.0,2.0,,0.10714285714285701,0.19642857142857065
4,2,0.5,1.0,1.0,2.0,3.0,,0.19642857142857056,0.21428571428571527
4,2,0.25,1.0,0.5,1.0,2.0,,0.10714285714285657,0.10714285714285657
4,2,0.3333333333333333,0.5,0.3333333333333333,0.5,1.0,,0.053571428571429325,0.14285714285714302

4,3,1.0,5.0,2.0,3.0,4.0,,0.43795620437956173,0.43795620437956206
4,3,0.2,1.0,1.0,1.0,1.0,,0.08759124087591241,0.16058394160583964
4,3,0.5,1.0,1.0,3.0,2.0,,0.16058394160583975,0.2189781021897809
4,3,0.3333333333333333,1.0,0.3333333333333333,1.0,2.0,,0.07299270072992692,0.14598540145985436
4,3,0.25,1.0,0.5,0.5,1.0,,0.07299270072992683,0.10948905109489045

5,1,1.0,3.0,2.0,1.0,1.0,,0.19999999999999982,0.33333333333333254
5,1,0.3333333333333333,1.0,1.0,1.0,1.0,,0.1111111111111114,0.19999999999999993
5,1,0.5,1.0,1.0,1.0,3.0,,0.166666666666666,0.20000000000000032
5,1,1.0,1.0,1.0,1.0,2.0,,0.20000000000000015,0.20000000000000015
5,1,1.0,1.0,0.3333333333333333,0.5,1.0,,0.06666666666666701,0.19999999999999984

5,2,1.0,2.0,1.0,2.0,2.0,,0.2857142857142855,0.285714285714286
5,2,0.5,1.0,1.0,1.0,2.0,,0.14285714285714296,0.21428571428571436
5,2,1.0,1.0,1.0,2.0,2.0,,0.2142857142857143,0.28571428571428553
5,2,0.5,1.0,0.5,1.0,2.0,,0.14285714285714252,0.14285714285714252
5,2,0.5,0.5,0.5,0.5,1.0,,0.07142857142857156,0.1428571428571429

5,3,1.0,1.0,2.0,4.0,6.0,,0.30303030303030193,0.3636363636363652
5,3,1.0,1.0,1.0,1.0,2.0,,0.18181818181818055,0.3030303030303021
5,3,0.5,1.0,1.0,3.0,3.0,,0.18181818181818254,0.18181818181818254
5,3,0.25,1.0,0.3333333333333333,1.0,2.0,,0.06060606060606091,0.1818181818181807
5,3,0.16666666666666666,0.5,0.3333333333333333,0.5,1.0,,0.06060606060606072,0.09090909090908927

6,1,1.0,2.0,1.0,3.0,2.0,,0.2857142857142852,0.2857142857142852
6,1,0.5,1.0,1.0,1.0,1.0,,0.142857142857143,0.2142857142857144
6,1,1.0,1.0,1.0,2.0,2.0,,0.21428571428571452,0.2857142857142858
6,1,0.3333333333333333,1.0,0.5,1.0,2.0,,0.0952380952380952,0.14285714285714313
6,1,0.5,1.0,0.5,0.5,1.0,,0.07142857142857151,0.14285714285714293

6,2,1.0,1.0,1.0,7.0,3.0,,0.28767123287671204,0.2876712328767125
6,2,1.0,1.0,1.0,2.0,4.0,,0.25570776255707806,0.2876712328767124
6,2,1.0,1.0,1.0,5.0,7.0,,0.2876712328767118,0.2876712328767118
6,2,0.14285714285714285,0.5,0.2,1.0,2.0,,0.041095890410959,0.127853881278539
6,2,0.3333333333333333,0.25,0.14285714285714285,0.5,1.0,,0.0410958904109584,0.09589041095890405

6,3,1.0,7.0,1.0,2.0,9.0,,0.34146341463414587,0.34146341463414603
6,3,0.14285714285714285,1.0,1.0,1.0,2.0,,0.048780487804877926,0.195121951219512
6,3,1.0,1.0,1.0,2.0,2.0,,0.19512195121951226,0.34146341463414603
6,3,0.5,1.0,0.5,1.0,2.0,,0.1707317073170738,0.17073170731707388
6,3,0.1111111111111111,0.5,0.5,0.5,1.0,,0.037940379403794,0.09756097560975603

7,1,1.0,2.0,1.0,2.0,2.0,,0.2857142857142859,0.2857142857142862
7,1,0.5,1.0,1.0,1.0,2.0,,0.14285714285714285,0.214285714285715
7,1,1.0,1.0,1.0,4.0,3.0,,0.21428571428571558,0.2857142857142847
7,1,0.5,1.0,0.25,1.0,2.0,,0.07142857142857117,0.1428571428571431
7,1,0.5,0.5,0.3333333333333333,0.5,1.0,,0.07142857142857101,0.14285714285714307

7,2,1.0,2.0,2.0,2.0,4.0,,0.3913043478260866,0.3913043478260874
7,2,0.5,1.0,1.0,2.0,2.0,,0.19565217391304354,0.2101449275362308
7,2,0.5,1.0,1.0,1.0,9.0,,0.1956521739130439,0.19565217391304462
7,2,0.5,0.5,1.0,1.0,4.0,,0.10507246376811542,0.1956521739130431
7,2,0.25,0.5,0.1111111111111111,0.25,1.0,,0.021739130434782736,0.09782608695652173

7,3,1.0,2.0,2.0,6.0,5.0,,0.41666666666666674,0.4166666666666675
7,3,0.5,1.0,1.0,1.0,1.0,,0.12499999999999922,0.2083333333333334
7,3,0.5,1.0,1.0,2.0,2.0,,0.20833333333333304,0.20833333333333331
7,3,0.16666666666666666,1.0,0.5,1.0,3.0,,0.06944444444444434,0.12499999999999922
7,3,0.2,1.0,0.5,0.3333333333333333,1.0,,0.04166666666666663,0.1249999999999988

8,1,1.0,2.0,2.0,2.0,7.0,,0.3678160919540229,0.4137931034482751
8,1,0.5,1.0,1.0,2.0,6.0,,0.20689655172413732,0.20689655172413796
8,1,0.5,1.0,1.0,2.0,3.0,,0.2068965517241381,0.2068965517241381
8,1,0.5,0.5,0.5,1.0,2.0,,0.10344827586206898,0.18390804597701155
8,1,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.5,1.0,,0.034482758620689724,0.06896551724137935

8,2,1.0,2.0,2.0,9.0,9.0,,0.4235294117647056,0.4235294117647057
