PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-39_PCM-1"", ""Trial-39_PCM-2"", ""Trial-39_PCM-3""]",20.427716384048328,20.516170952810118,20.42771599318757,Error,Error,Error,5.481725485152488,5.362871856338584,5.280938041496592
"Any[""Trial-40_PCM-1"", ""Trial-40_PCM-2"", ""Trial-40_PCM-3""]",17.21960140008322,25.817285101445332,17.089101555247197,Error,Error,Error,7.021561128880783,5.6781644707423595,5.726200770479963
"Any[""Trial-41_PCM-1"", ""Trial-41_PCM-2"", ""Trial-41_PCM-3""]",11.782371458745043,13.408601771212401,11.782371600945586,Error,Error,Error,0.8472796986877,1.4473477690553311,0.654515550762687
"Any[""Trial-42_PCM-1"", ""Trial-42_PCM-2"", ""Trial-42_PCM-3""]",13.39204698344215,15.548032319860315,13.392046340484947,Error,Error,Error,2.6357484276735024,3.161078960967949,3.1538258049207193
"Any[""Trial-43_PCM-1"", ""Trial-43_PCM-2"", ""Trial-43_PCM-3""]",15.970241388521675,85.49943032802965,16.74126005321934,Error,Error,Error,6.751692539281187,6.1705498641753795,5.428250516004368
"Any[""Trial-44_PCM-1"", ""Trial-44_PCM-2"", ""Trial-44_PCM-3""]",20.47330940553987,85.08090758883158,20.350382291259997,Error,Error,Error,4.9727176396689945,4.640141492789521,4.801551228264933
"Any[""Trial-45_PCM-1"", ""Trial-45_PCM-2"", ""Trial-45_PCM-3""]",18.139596080844896,141.72265193438517,17.474426934768267,Error,Error,Error,3.722091856004213,3.684760343022201,1.8145991048832526
"Any[""Trial-46_PCM-1"", ""Trial-46_PCM-2"", ""Trial-46_PCM-3""]",14.407470795161503,18.488741497740882,15.069528148793927,Error,Error,Error,4.4524659235819755,4.406502698791333,4.1312750664741795
"Any[""Trial-47_PCM-1"", ""Trial-47_PCM-2"", ""Trial-47_PCM-3""]",14.744156597089962,18.971463801100512,14.744158512667271,Error,Error,Error,3.0721734687454876,3.0618654994583956,2.6330948414939472
"Any[""Trial-48_PCM-1"", ""Trial-48_PCM-2"", ""Trial-48_PCM-3""]",14.334075753824493,15.96547206262785,15.51799845521676,Error,Error,Error,0.7099817320110864,0.774291250608278,0.6273584767075899
"Any[""Trial-49_PCM-1"", ""Trial-49_PCM-2"", ""Trial-49_PCM-3""]",17.426833108480533,32.39336719762683,17.106662628884422,Error,Error,Error,4.098015294168653,2.9272043652434965,2.155984348476355
"Any[""Trial-50_PCM-1"", ""Trial-50_PCM-2"", ""Trial-50_PCM-3""]",18.100508731585418,148.6193826908128,19.1499637451247,Error,Error,Error,7.368599544429051,8.332446676553767,6.828531406550427
"Any[""Trial-51_PCM-1"", ""Trial-51_PCM-2"", ""Trial-51_PCM-3""]",19.3196993680583,90.5994570063116,19.855997308971396,Error,Error,Error,5.295328720763628,5.774190161670797,5.701685792366813
"Any[""Trial-52_PCM-1"", ""Trial-52_PCM-2"", ""Trial-52_PCM-3""]",13.091770535633929,16.167043128544606,14.365585670675888,Error,Error,Error,2.7777298308538962,3.1259679600856876,2.8112203395566184
"Any[""Trial-53_PCM-1"", ""Trial-53_PCM-2"", ""Trial-53_PCM-3""]",23.739575720929878,145.76408193571177,24.273702122611642,Error,Error,Error,5.889222627480118,7.759347811069684,4.811601467338326
"Any[""Trial-54_PCM-1"", ""Trial-54_PCM-2"", ""Trial-54_PCM-3""]",17.001490695685646,17.096251343768646,17.29792305694904,Error,Error,Error,3.8060590639633256,3.961416241056399,3.806058898151695
"Any[""Trial-55_PCM-1"", ""Trial-55_PCM-2"", ""Trial-55_PCM-3""]",14.516619820611066,16.689768374651596,15.262132194108855,Error,Error,Error,3.483310060494534,4.402313434041927,3.5638895927785486
"Any[""Trial-56_PCM-1"", ""Trial-56_PCM-2"", ""Trial-56_PCM-3""]",19.62109679575916,21.403809742523727,19.733780988626325,Error,Error,Error,5.64512039459153,6.452693280459836,5.101023824964722
"Any[""Trial-57_PCM-1"", ""Trial-57_PCM-2"", ""Trial-57_PCM-3""]",17.34867236797574,17.929206970974356,17.208302337719854,Error,Error,Error,3.0531686302888095,4.358010738858974,2.5193942596220515
"Any[""Trial-58_PCM-1"", ""Trial-58_PCM-2"", ""Trial-58_PCM-3""]",17.48140483586569,82.4008199044145,18.098008033158546,Error,Error,Error,5.993094115246103,6.762339145597979,6.1768679786493115
"Any[""Trial-59_PCM-1"", ""Trial-59_PCM-2"", ""Trial-59_PCM-3""]",13.246340230014365,13.376424182319916,13.246339795346769,Error,Error,Error,1.2818863216546545,1.5054070118932286,1.1507275743406544
