PCM_Identifiers,entani論文のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,ダミー,,,,,
"Any[""Trial-383_PCM-1"", ""Trial-383_PCM-2"", ""Trial-383_PCM-3""]",13.81381393,13.81381393,14.07196784,,,,,
"Any[""Trial-384_PCM-1"", ""Trial-384_PCM-2"", ""Trial-384_PCM-3""]",14.64191927,14.64191927,14.64191946,,,,,
"Any[""Trial-385_PCM-1"", ""Trial-385_PCM-2"", ""Trial-385_PCM-3""]",16.23756659,15.63902967,15.63902967,,,,,
"Any[""Trial-386_PCM-1"", ""Trial-386_PCM-2"", ""Trial-386_PCM-3""]",14.22138911,14.22138911,15.0961457,,,,,
"Any[""Trial-387_PCM-1"", ""Trial-387_PCM-2"", ""Trial-387_PCM-3""]",17.36867692,17.36867692,18.05607796,,,,,
"Any[""Trial-388_PCM-1"", ""Trial-388_PCM-2"", ""Trial-388_PCM-3""]",12.85768408,12.71220602,12.71220602,,,,,
"Any[""Trial-389_PCM-1"", ""Trial-389_PCM-2"", ""Trial-389_PCM-3""]",18.420676,17.3375007,17.3375007,,,,,
"Any[""Trial-390_PCM-1"", ""Trial-390_PCM-2"", ""Trial-390_PCM-3""]",16.96626838,16.96626838,18.1949063,,,,,
"Any[""Trial-391_PCM-1"", ""Trial-391_PCM-2"", ""Trial-391_PCM-3""]",18.9122725,18.9122725,19.17466125,,,,,
"Any[""Trial-392_PCM-1"", ""Trial-392_PCM-2"", ""Trial-392_PCM-3""]",14.59354691,14.33407568,14.33407568,,,,,
"Any[""Trial-393_PCM-1"", ""Trial-393_PCM-2"", ""Trial-393_PCM-3""]",11.51179646,11.51179646,11.5997109,,,,,
"Any[""Trial-394_PCM-1"", ""Trial-394_PCM-2"", ""Trial-394_PCM-3""]",13.41437176,12.97666919,12.97666919,,,,,
"Any[""Trial-395_PCM-1"", ""Trial-395_PCM-2"", ""Trial-395_PCM-3""]",16.86896963,16.86896963,20.17044451,,,,,
"Any[""Trial-396_PCM-1"", ""Trial-396_PCM-2"", ""Trial-396_PCM-3""]",13.80572567,13.21613338,13.21613338,,,,,
"Any[""Trial-397_PCM-1"", ""Trial-397_PCM-2"", ""Trial-397_PCM-3""]",18.28215838,17.99726141,17.99726141,,,,,
"Any[""Trial-398_PCM-1"", ""Trial-398_PCM-2"", ""Trial-398_PCM-3""]",9.939626109,9.939626109,14.20401431,,,,,
"Any[""Trial-399_PCM-1"", ""Trial-399_PCM-2"", ""Trial-399_PCM-3""]",11.98292941,11.98292941,12.1531672,,,,,
"Any[""Trial-400_PCM-1"", ""Trial-400_PCM-2"", ""Trial-400_PCM-3""]",13.44149993,13.44149993,16.06252517,,,,,
"Any[""Trial-401_PCM-1"", ""Trial-401_PCM-2"", ""Trial-401_PCM-3""]",16.13831823,16.1334433,16.1334433,,,,,
"Any[""Trial-402_PCM-1"", ""Trial-402_PCM-2"", ""Trial-402_PCM-3""]",16.68521885,16.68521885,16.92771717,,,,,
"Any[""Trial-403_PCM-1"", ""Trial-403_PCM-2"", ""Trial-403_PCM-3""]",11.48108399,11.48108399,11.90252581,,,,,
"Any[""Trial-404_PCM-1"", ""Trial-404_PCM-2"", ""Trial-404_PCM-3""]",15.81044513,14.14799551,14.14799551,,,,,
"Any[""Trial-405_PCM-1"", ""Trial-405_PCM-2"", ""Trial-405_PCM-3""]",14.02946274,13.82382518,13.82382518,,,,,
"Any[""Trial-406_PCM-1"", ""Trial-406_PCM-2"", ""Trial-406_PCM-3""]",14.39706836,14.39706836,18.25738774,,,,,
"Any[""Trial-407_PCM-1"", ""Trial-407_PCM-2"", ""Trial-407_PCM-3""]",17.08883805,15.21513278,15.21513278,,,,,
"Any[""Trial-408_PCM-1"", ""Trial-408_PCM-2"", ""Trial-408_PCM-3""]",14.33407316,14.33407316,15.48480097,,,,,
"Any[""Trial-409_PCM-1"", ""Trial-409_PCM-2"", ""Trial-409_PCM-3""]",14.73902178,14.73902178,15.3932264,,,,,
"Any[""Trial-410_PCM-1"", ""Trial-410_PCM-2"", ""Trial-410_PCM-3""]",9.506768102,9.506768102,9.656701346,,,,,
"Any[""Trial-411_PCM-1"", ""Trial-411_PCM-2"", ""Trial-411_PCM-3""]",14.41462719,14.41462719,15.573837,,,,,
"Any[""Trial-412_PCM-1"", ""Trial-412_PCM-2"", ""Trial-412_PCM-3""]",14.72336191,13.71351966,13.71351966,,,,,
"Any[""Trial-413_PCM-1"", ""Trial-413_PCM-2"", ""Trial-413_PCM-3""]",8.788893989,8.788893989,8.966704901,,,,,
"Any[""Trial-414_PCM-1"", ""Trial-414_PCM-2"", ""Trial-414_PCM-3""]",13.94173856,13.94173856,14.15800734,,,,,
"Any[""Trial-415_PCM-1"", ""Trial-415_PCM-2"", ""Trial-415_PCM-3""]",10.47375196,10.47375196,10.52303336,,,,,
"Any[""Trial-416_PCM-1"", ""Trial-416_PCM-2"", ""Trial-416_PCM-3""]",17.10666391,17.10666391,17.65119193,,,,,
"Any[""Trial-417_PCM-1"", ""Trial-417_PCM-2"", ""Trial-417_PCM-3""]",13.55509836,13.55509836,14.24249919,,,,,
"Any[""Trial-418_PCM-1"", ""Trial-418_PCM-2"", ""Trial-418_PCM-3""]",11.98368786,11.98368786,12.82156787,,,,,
"Any[""Trial-419_PCM-1"", ""Trial-419_PCM-2"", ""Trial-419_PCM-3""]",14.10778766,14.10778766,16.13633951,,,,,
"Any[""Trial-420_PCM-1"", ""Trial-420_PCM-2"", ""Trial-420_PCM-3""]",12.13389038,12.13389038,12.95471286,,,,,
"Any[""Trial-421_PCM-1"", ""Trial-421_PCM-2"", ""Trial-421_PCM-3""]",7.701161877,7.701161877,7.969718714,,,,,
"Any[""Trial-422_PCM-1"", ""Trial-422_PCM-2"", ""Trial-422_PCM-3""]",15.59747608,14.17473344,14.17473344,,,,,
"Any[""Trial-423_PCM-1"", ""Trial-423_PCM-2"", ""Trial-423_PCM-3""]",16.77511308,16.77511308,18.06458225,,,,,
"Any[""Trial-424_PCM-1"", ""Trial-424_PCM-2"", ""Trial-424_PCM-3""]",15.01366677,13.53139279,13.53139279,,,,,
"Any[""Trial-425_PCM-1"", ""Trial-425_PCM-2"", ""Trial-425_PCM-3""]",17.26994878,17.26994878,18.86068064,,,,,
"Any[""Trial-426_PCM-1"", ""Trial-426_PCM-2"", ""Trial-426_PCM-3""]",13.47469525,13.47469525,13.59970543,,,,,
"Any[""Trial-427_PCM-1"", ""Trial-427_PCM-2"", ""Trial-427_PCM-3""]",12.19350038,12.19350038,12.69415542,,,,,
"Any[""Trial-428_PCM-1"", ""Trial-428_PCM-2"", ""Trial-428_PCM-3""]",14.07689623,13.81874303,13.81874303,,,,,
"Any[""Trial-429_PCM-1"", ""Trial-429_PCM-2"", ""Trial-429_PCM-3""]",12.63300272,12.63300272,12.6330036,,,,,
"Any[""Trial-430_PCM-1"", ""Trial-430_PCM-2"", ""Trial-430_PCM-3""]",16.57253403,16.57253403,17.06112931,,,,,
"Any[""Trial-431_PCM-1"", ""Trial-431_PCM-2"", ""Trial-431_PCM-3""]",15.33933158,15.33933158,15.38035735,,,,,
"Any[""Trial-432_PCM-1"", ""Trial-432_PCM-2"", ""Trial-432_PCM-3""]",11.59468047,11.59468047,12.43167404,,,,,
"Any[""Trial-433_PCM-1"", ""Trial-433_PCM-2"", ""Trial-433_PCM-3""]",13.44150259,13.44150259,15.33191469,,,,,
"Any[""Trial-434_PCM-1"", ""Trial-434_PCM-2"", ""Trial-434_PCM-3""]",13.18334637,13.18334637,13.63666063,,,,,
"Any[""Trial-435_PCM-1"", ""Trial-435_PCM-2"", ""Trial-435_PCM-3""]",15.12442646,15.12442646,15.45459562,,,,,
"Any[""Trial-436_PCM-1"", ""Trial-436_PCM-2"", ""Trial-436_PCM-3""]",15.38993697,15.38993697,16.16439494,,,,,
"Any[""Trial-437_PCM-1"", ""Trial-437_PCM-2"", ""Trial-437_PCM-3""]",13.30389588,13.30389588,13.30389591,,,,,
"Any[""Trial-438_PCM-1"", ""Trial-438_PCM-2"", ""Trial-438_PCM-3""]",11.09035408,11.09035408,11.09035431,,,,,
"Any[""Trial-439_PCM-1"", ""Trial-439_PCM-2"", ""Trial-439_PCM-3""]",18.67883158,18.67883158,19.40811812,,,,,
"Any[""Trial-440_PCM-1"", ""Trial-440_PCM-2"", ""Trial-440_PCM-3""]",16.01892849,16.01892849,16.56345732,,,,,
"Any[""Trial-441_PCM-1"", ""Trial-441_PCM-2"", ""Trial-441_PCM-3""]",13.45457883,13.00360406,13.00360406,,,,,
"Any[""Trial-442_PCM-1"", ""Trial-442_PCM-2"", ""Trial-442_PCM-3""]",13.81381781,13.81381781,14.07196842,,,,,
"Any[""Trial-443_PCM-1"", ""Trial-443_PCM-2"", ""Trial-443_PCM-3""]",10.67583484,10.67583484,10.67583494,,,,,
"Any[""Trial-444_PCM-1"", ""Trial-444_PCM-2"", ""Trial-444_PCM-3""]",10.99185245,10.99185245,11.10144922,,,,,
"Any[""Trial-445_PCM-1"", ""Trial-445_PCM-2"", ""Trial-445_PCM-3""]",10.0408958,10.0408958,10.24510942,,,,,
"Any[""Trial-446_PCM-1"", ""Trial-446_PCM-2"", ""Trial-446_PCM-3""]",9.550969976,9.550969976,9.700902069,,,,,
"Any[""Trial-447_PCM-1"", ""Trial-447_PCM-2"", ""Trial-447_PCM-3""]",14.34950903,14.34950778,14.34950778,,,,,
"Any[""Trial-448_PCM-1"", ""Trial-448_PCM-2"", ""Trial-448_PCM-3""]",15.59439679,15.13675623,15.13675623,,,,,
"Any[""Trial-449_PCM-1"", ""Trial-449_PCM-2"", ""Trial-449_PCM-3""]",17.52810597,17.52810597,18.93307367,,,,,
"Any[""Trial-450_PCM-1"", ""Trial-450_PCM-2"", ""Trial-450_PCM-3""]",11.98292909,11.98292909,12.23413238,,,,,
"Any[""Trial-451_PCM-1"", ""Trial-451_PCM-2"", ""Trial-451_PCM-3""]",15.38330465,15.38330465,15.99990739,,,,,
"Any[""Trial-452_PCM-1"", ""Trial-452_PCM-2"", ""Trial-452_PCM-3""]",11.62447818,11.62447818,12.05500087,,,,,
"Any[""Trial-453_PCM-1"", ""Trial-453_PCM-2"", ""Trial-453_PCM-3""]",16.32767345,15.13675659,15.13675659,,,,,
"Any[""Trial-454_PCM-1"", ""Trial-454_PCM-2"", ""Trial-454_PCM-3""]",15.8195139,15.8195139,16.13968387,,,,,
"Any[""Trial-455_PCM-1"", ""Trial-455_PCM-2"", ""Trial-455_PCM-3""]",15.66499104,15.66499104,18.18633428,,,,,
"Any[""Trial-456_PCM-1"", ""Trial-456_PCM-2"", ""Trial-456_PCM-3""]",13.66707699,13.66707699,13.80022574,,,,,
"Any[""Trial-457_PCM-1"", ""Trial-457_PCM-2"", ""Trial-457_PCM-3""]",21.19490238,21.13233547,21.13233547,,,,,
"Any[""Trial-458_PCM-1"", ""Trial-458_PCM-2"", ""Trial-458_PCM-3""]",15.29063233,15.29063233,15.39491133,,,,,
"Any[""Trial-459_PCM-1"", ""Trial-459_PCM-2"", ""Trial-459_PCM-3""]",15.11396075,15.11396075,15.22664714,,,,,
"Any[""Trial-460_PCM-1"", ""Trial-460_PCM-2"", ""Trial-460_PCM-3""]",14.4210581,14.4210581,14.42434805,,,,,
"Any[""Trial-461_PCM-1"", ""Trial-461_PCM-2"", ""Trial-461_PCM-3""]",12.78827961,12.71221477,12.71221477,,,,,
"Any[""Trial-462_PCM-1"", ""Trial-462_PCM-2"", ""Trial-462_PCM-3""]",18.21221186,16.07119572,16.07119572,,,,,
"Any[""Trial-463_PCM-1"", ""Trial-463_PCM-2"", ""Trial-463_PCM-3""]",14.02621941,13.75530964,13.75530964,,,,,
"Any[""Trial-464_PCM-1"", ""Trial-464_PCM-2"", ""Trial-464_PCM-3""]",13.28584722,13.28584722,13.50211604,,,,,
"Any[""Trial-465_PCM-1"", ""Trial-465_PCM-2"", ""Trial-465_PCM-3""]",16.96116675,14.58679134,14.58679134,,,,,
"Any[""Trial-466_PCM-1"", ""Trial-466_PCM-2"", ""Trial-466_PCM-3""]",11.09035419,10.83220017,10.83220017,,,,,
"Any[""Trial-467_PCM-1"", ""Trial-467_PCM-2"", ""Trial-467_PCM-3""]",12.67901976,12.33097417,12.33097417,,,,,
"Any[""Trial-468_PCM-1"", ""Trial-468_PCM-2"", ""Trial-468_PCM-3""]",8.400242272,8.400241909,8.400241909,,,,,
"Any[""Trial-469_PCM-1"", ""Trial-469_PCM-2"", ""Trial-469_PCM-3""]",21.1055398,21.1055398,21.33477937,,,,,
"Any[""Trial-470_PCM-1"", ""Trial-470_PCM-2"", ""Trial-470_PCM-3""]",16.97104982,16.808917,16.808917,,,,,
"Any[""Trial-471_PCM-1"", ""Trial-471_PCM-2"", ""Trial-471_PCM-3""]",19.05676635,19.05676635,21.61469351,,,,,
"Any[""Trial-472_PCM-1"", ""Trial-472_PCM-2"", ""Trial-472_PCM-3""]",18.2956688,18.2956688,20.54686555,,,,,
"Any[""Trial-473_PCM-1"", ""Trial-473_PCM-2"", ""Trial-473_PCM-3""]",12.6790027,12.6790027,15.74295339,,,,,
"Any[""Trial-474_PCM-1"", ""Trial-474_PCM-2"", ""Trial-474_PCM-3""]",13.38110028,12.86774159,12.86774159,,,,,
"Any[""Trial-475_PCM-1"", ""Trial-475_PCM-2"", ""Trial-475_PCM-3""]",17.47841457,17.47841457,18.33986804,,,,,
"Any[""Trial-476_PCM-1"", ""Trial-476_PCM-2"", ""Trial-476_PCM-3""]",12.24108269,12.24108269,12.24108302,,,,,
"Any[""Trial-477_PCM-1"", ""Trial-477_PCM-2"", ""Trial-477_PCM-3""]",12.32355896,11.52289046,11.52289046,,,,,
"Any[""Trial-478_PCM-1"", ""Trial-478_PCM-2"", ""Trial-478_PCM-3""]",12.34072516,12.34072516,12.39435748,,,,,
"Any[""Trial-479_PCM-1"", ""Trial-479_PCM-2"", ""Trial-479_PCM-3""]",11.39818909,9.939626534,9.939626534,,,,,
"Any[""Trial-480_PCM-1"", ""Trial-480_PCM-2"", ""Trial-480_PCM-3""]",16.27017482,15.82147642,15.82147642,,,,,
"Any[""Trial-481_PCM-1"", ""Trial-481_PCM-2"", ""Trial-481_PCM-3""]",15.48480334,15.48480334,15.48480363,,,,,
"Any[""Trial-482_PCM-1"", ""Trial-482_PCM-2"", ""Trial-482_PCM-3""]",13.32539384,12.17655842,12.17655842,,,,,
"Any[""Trial-483_PCM-1"", ""Trial-483_PCM-2"", ""Trial-483_PCM-3""]",12.06540251,11.25364275,11.25364275,,,,,
"Any[""Trial-484_PCM-1"", ""Trial-484_PCM-2"", ""Trial-484_PCM-3""]",16.71632745,15.30153684,15.30153684,,,,,
"Any[""Trial-485_PCM-1"", ""Trial-485_PCM-2"", ""Trial-485_PCM-3""]",12.51705468,12.51705468,14.4074715,,,,,
"Any[""Trial-486_PCM-1"", ""Trial-486_PCM-2"", ""Trial-486_PCM-3""]",14.31296271,13.91263281,13.91263281,,,,,
"Any[""Trial-487_PCM-1"", ""Trial-487_PCM-2"", ""Trial-487_PCM-3""]",14.3970725,14.3970725,14.98494295,,,,,
"Any[""Trial-488_PCM-1"", ""Trial-488_PCM-2"", ""Trial-488_PCM-3""]",13.77369656,13.77369656,14.2548469,,,,,
"Any[""Trial-489_PCM-1"", ""Trial-489_PCM-2"", ""Trial-489_PCM-3""]",14.33407352,13.96960848,13.96960848,,,,,
"Any[""Trial-490_PCM-1"", ""Trial-490_PCM-2"", ""Trial-490_PCM-3""]",11.98292829,11.98292829,12.5170542,,,,,
"Any[""Trial-491_PCM-1"", ""Trial-491_PCM-2"", ""Trial-491_PCM-3""]",18.74799562,15.95788465,15.95788465,,,,,
"Any[""Trial-492_PCM-1"", ""Trial-492_PCM-2"", ""Trial-492_PCM-3""]",14.78871162,14.7887114,14.7887114,,,,,
"Any[""Trial-493_PCM-1"", ""Trial-493_PCM-2"", ""Trial-493_PCM-3""]",13.12255495,13.12255495,15.0338278,,,,,
"Any[""Trial-494_PCM-1"", ""Trial-494_PCM-2"", ""Trial-494_PCM-3""]",16.30656483,15.77743225,15.77743225,,,,,
"Any[""Trial-495_PCM-1"", ""Trial-495_PCM-2"", ""Trial-495_PCM-3""]",18.76171105,18.76171105,18.76171173,,,,,
"Any[""Trial-496_PCM-1"", ""Trial-496_PCM-2"", ""Trial-496_PCM-3""]",14.47954021,14.47954021,14.95067471,,,,,
"Any[""Trial-497_PCM-1"", ""Trial-497_PCM-2"", ""Trial-497_PCM-3""]",13.13598545,13.13598545,13.41196342,,,,,
"Any[""Trial-498_PCM-1"", ""Trial-498_PCM-2"", ""Trial-498_PCM-3""]",11.50041335,11.50041335,12.65114271,,,,,
"Any[""Trial-499_PCM-1"", ""Trial-499_PCM-2"", ""Trial-499_PCM-3""]",16.72101124,16.72101124,16.7887269,,,,,
"Any[""Trial-500_PCM-1"", ""Trial-500_PCM-2"", ""Trial-500_PCM-3""]",10.44354547,10.44354547,10.74230859,,,,,
"Any[""Trial-501_PCM-1"", ""Trial-501_PCM-2"", ""Trial-501_PCM-3""]",15.06336127,15.06336127,16.21408941,,,,,
"Any[""Trial-502_PCM-1"", ""Trial-502_PCM-2"", ""Trial-502_PCM-3""]",15.01364306,15.01364306,16.50530216,,,,,
"Any[""Trial-503_PCM-1"", ""Trial-503_PCM-2"", ""Trial-503_PCM-3""]",10.95623242,10.95623242,12.44432512,,,,,
"Any[""Trial-504_PCM-1"", ""Trial-504_PCM-2"", ""Trial-504_PCM-3""]",13.32881063,13.32881063,13.79994474,,,,,
"Any[""Trial-505_PCM-1"", ""Trial-505_PCM-2"", ""Trial-505_PCM-3""]",17.48790616,17.48790616,17.69424293,,,,,
"Any[""Trial-506_PCM-1"", ""Trial-506_PCM-2"", ""Trial-506_PCM-3""]",12.71220991,12.71220991,13.86293172,,,,,
"Any[""Trial-507_PCM-1"", ""Trial-507_PCM-2"", ""Trial-507_PCM-3""]",13.27220061,13.27220061,13.72211224,,,,,
"Any[""Trial-508_PCM-1"", ""Trial-508_PCM-2"", ""Trial-508_PCM-3""]",14.59222807,14.59222807,15.20883154,,,,,
"Any[""Trial-509_PCM-1"", ""Trial-509_PCM-2"", ""Trial-509_PCM-3""]",9.681470853,9.681470853,9.962289122,,,,,
"Any[""Trial-510_PCM-1"", ""Trial-510_PCM-2"", ""Trial-510_PCM-3""]",12.81348393,12.81348393,16.93641987,,,,,
"Any[""Trial-511_PCM-1"", ""Trial-511_PCM-2"", ""Trial-511_PCM-3""]",12.23515903,12.23515903,12.80018031,,,,,
"Any[""Trial-512_PCM-1"", ""Trial-512_PCM-2"", ""Trial-512_PCM-3""]",15.35208652,15.35208652,15.64262963,,,,,
"Any[""Trial-513_PCM-1"", ""Trial-513_PCM-2"", ""Trial-513_PCM-3""]",16.07427958,15.5175349,15.5175349,,,,,
"Any[""Trial-514_PCM-1"", ""Trial-514_PCM-2"", ""Trial-514_PCM-3""]",8.81910377,8.81910377,9.087660264,,,,,
"Any[""Trial-515_PCM-1"", ""Trial-515_PCM-2"", ""Trial-515_PCM-3""]",14.8347259,14.8347259,14.83472701,,,,,
"Any[""Trial-516_PCM-1"", ""Trial-516_PCM-2"", ""Trial-516_PCM-3""]",11.76897289,11.76897289,11.97319372,,,,,
"Any[""Trial-517_PCM-1"", ""Trial-517_PCM-2"", ""Trial-517_PCM-3""]",14.03764214,14.03764214,14.81460212,,,,,
"Any[""Trial-518_PCM-1"", ""Trial-518_PCM-2"", ""Trial-518_PCM-3""]",13.32881774,13.32881774,13.84728712,,,,,
"Any[""Trial-519_PCM-1"", ""Trial-519_PCM-2"", ""Trial-519_PCM-3""]",18.61582929,18.61582929,19.36059167,,,,,
"Any[""Trial-520_PCM-1"", ""Trial-520_PCM-2"", ""Trial-520_PCM-3""]",11.74042779,10.94093041,10.94093041,,,,,
"Any[""Trial-521_PCM-1"", ""Trial-521_PCM-2"", ""Trial-521_PCM-3""]",14.47952103,13.67686129,13.67686129,,,,,
"Any[""Trial-522_PCM-1"", ""Trial-522_PCM-2"", ""Trial-522_PCM-3""]",15.10102222,14.02622535,14.02622535,,,,,
"Any[""Trial-523_PCM-1"", ""Trial-523_PCM-2"", ""Trial-523_PCM-3""]",16.38817947,16.38817947,17.32250057,,,,,
"Any[""Trial-524_PCM-1"", ""Trial-524_PCM-2"", ""Trial-524_PCM-3""]",16.00354711,15.38385876,15.38385876,,,,,
"Any[""Trial-525_PCM-1"", ""Trial-525_PCM-2"", ""Trial-525_PCM-3""]",15.0697677,15.0697677,15.89058958,,,,,
"Any[""Trial-526_PCM-1"", ""Trial-526_PCM-2"", ""Trial-526_PCM-3""]",18.25738957,18.25738957,18.87399336,,,,,
"Any[""Trial-527_PCM-1"", ""Trial-527_PCM-2"", ""Trial-527_PCM-3""]",15.20883007,14.3970687,14.3970687,,,,,
"Any[""Trial-528_PCM-1"", ""Trial-528_PCM-2"", ""Trial-528_PCM-3""]",13.91262979,12.5528304,12.5528304,,,,,
"Any[""Trial-529_PCM-1"", ""Trial-529_PCM-2"", ""Trial-529_PCM-3""]",8.788898048,8.788897981,8.788897981,,,,,
"Any[""Trial-530_PCM-1"", ""Trial-530_PCM-2"", ""Trial-530_PCM-3""]",14.74510764,14.74510764,15.04686597,,,,,
"Any[""Trial-531_PCM-1"", ""Trial-531_PCM-2"", ""Trial-531_PCM-3""]",13.25390745,13.25390642,13.25390642,,,,,
"Any[""Trial-532_PCM-1"", ""Trial-532_PCM-2"", ""Trial-532_PCM-3""]",13.59148359,12.1780881,12.1780881,,,,,
"Any[""Trial-533_PCM-1"", ""Trial-533_PCM-2"", ""Trial-533_PCM-3""]",12.358546,11.17283036,11.17283036,,,,,
"Any[""Trial-534_PCM-1"", ""Trial-534_PCM-2"", ""Trial-534_PCM-3""]",17.47252461,17.23716406,17.23716406,,,,,
"Any[""Trial-535_PCM-1"", ""Trial-535_PCM-2"", ""Trial-535_PCM-3""]",13.60478828,13.60478828,14.33407412,,,,,
"Any[""Trial-536_PCM-1"", ""Trial-536_PCM-2"", ""Trial-536_PCM-3""]",12.17808842,12.17808842,13.73350974,,,,,
"Any[""Trial-537_PCM-1"", ""Trial-537_PCM-2"", ""Trial-537_PCM-3""]",17.94953923,17.71418579,17.71418579,,,,,
"Any[""Trial-538_PCM-1"", ""Trial-538_PCM-2"", ""Trial-538_PCM-3""]",15.61048785,15.61048674,15.61048674,,,,,
"Any[""Trial-539_PCM-1"", ""Trial-539_PCM-2"", ""Trial-539_PCM-3""]",17.10665212,17.10665212,17.52810309,,,,,
"Any[""Trial-540_PCM-1"", ""Trial-540_PCM-2"", ""Trial-540_PCM-3""]",18.87394278,18.0945308,18.0945308,,,,,
"Any[""Trial-541_PCM-1"", ""Trial-541_PCM-2"", ""Trial-541_PCM-3""]",15.48480284,15.48480284,16.90207261,,,,,
"Any[""Trial-542_PCM-1"", ""Trial-542_PCM-2"", ""Trial-542_PCM-3""]",13.33882973,13.33882973,13.38485956,,,,,
"Any[""Trial-543_PCM-1"", ""Trial-543_PCM-2"", ""Trial-543_PCM-3""]",20.79038604,20.18709749,20.18709749,,,,,
"Any[""Trial-544_PCM-1"", ""Trial-544_PCM-2"", ""Trial-544_PCM-3""]",13.62186435,13.26214718,13.26214718,,,,,
"Any[""Trial-545_PCM-1"", ""Trial-545_PCM-2"", ""Trial-545_PCM-3""]",12.7510107,12.35067753,12.35067753,,,,,
"Any[""Trial-546_PCM-1"", ""Trial-546_PCM-2"", ""Trial-546_PCM-3""]",10.24286329,10.24286329,10.28523063,,,,,
"Any[""Trial-547_PCM-1"", ""Trial-547_PCM-2"", ""Trial-547_PCM-3""]",14.4795379,14.05810369,14.05810369,,,,,
"Any[""Trial-548_PCM-1"", ""Trial-548_PCM-2"", ""Trial-548_PCM-3""]",18.61583694,18.61583694,19.06915501,,,,,
"Any[""Trial-549_PCM-1"", ""Trial-549_PCM-2"", ""Trial-549_PCM-3""]",14.89231302,14.89231302,17.16964189,,,,,
"Any[""Trial-550_PCM-1"", ""Trial-550_PCM-2"", ""Trial-550_PCM-3""]",15.58918301,14.49733451,14.49733451,,,,,
"Any[""Trial-551_PCM-1"", ""Trial-551_PCM-2"", ""Trial-551_PCM-3""]",14.28438268,13.862942,13.862942,,,,,
"Any[""Trial-552_PCM-1"", ""Trial-552_PCM-2"", ""Trial-552_PCM-3""]",14.93266734,14.6959837,14.6959837,,,,,
"Any[""Trial-553_PCM-1"", ""Trial-553_PCM-2"", ""Trial-553_PCM-3""]",14.72831953,14.21790708,14.21790708,,,,,
"Any[""Trial-554_PCM-1"", ""Trial-554_PCM-2"", ""Trial-554_PCM-3""]",14.99387095,14.02622559,14.02622559,,,,,
"Any[""Trial-555_PCM-1"", ""Trial-555_PCM-2"", ""Trial-555_PCM-3""]",17.410847,17.410847,18.46585585,,,,,
"Any[""Trial-556_PCM-1"", ""Trial-556_PCM-2"", ""Trial-556_PCM-3""]",14.33407493,14.33407493,16.9428506,,,,,
"Any[""Trial-557_PCM-1"", ""Trial-557_PCM-2"", ""Trial-557_PCM-3""]",13.56087814,11.8702403,11.8702403,,,,,
"Any[""Trial-558_PCM-1"", ""Trial-558_PCM-2"", ""Trial-558_PCM-3""]",19.98649765,19.98649765,19.98649853,,,,,
"Any[""Trial-559_PCM-1"", ""Trial-559_PCM-2"", ""Trial-559_PCM-3""]",14.09129954,14.09129954,15.05101886,,,,,
"Any[""Trial-560_PCM-1"", ""Trial-560_PCM-2"", ""Trial-560_PCM-3""]",14.00249155,14.00249155,14.32264826,,,,,
"Any[""Trial-561_PCM-1"", ""Trial-561_PCM-2"", ""Trial-561_PCM-3""]",13.1075972,13.1075972,15.79396788,,,,,
"Any[""Trial-562_PCM-1"", ""Trial-562_PCM-2"", ""Trial-562_PCM-3""]",10.88053413,10.88053413,11.03046609,,,,,
"Any[""Trial-563_PCM-1"", ""Trial-563_PCM-2"", ""Trial-563_PCM-3""]",13.65447665,11.09035489,11.09035489,,,,,
"Any[""Trial-564_PCM-1"", ""Trial-564_PCM-2"", ""Trial-564_PCM-3""]",14.02857601,12.91017675,12.91017675,,,,,
"Any[""Trial-565_PCM-1"", ""Trial-565_PCM-2"", ""Trial-565_PCM-3""]",13.71022202,13.71022202,14.64283067,,,,,
"Any[""Trial-566_PCM-1"", ""Trial-566_PCM-2"", ""Trial-566_PCM-3""]",9.826939122,9.826939122,10.32759282,,,,,
"Any[""Trial-567_PCM-1"", ""Trial-567_PCM-2"", ""Trial-567_PCM-3""]",17.78625363,17.56089224,17.56089224,,,,,
"Any[""Trial-568_PCM-1"", ""Trial-568_PCM-2"", ""Trial-568_PCM-3""]",20.11460696,18.22467674,18.22467674,,,,,
"Any[""Trial-569_PCM-1"", ""Trial-569_PCM-2"", ""Trial-569_PCM-3""]",13.56650642,13.56650642,13.74353012,,,,,
"Any[""Trial-570_PCM-1"", ""Trial-570_PCM-2"", ""Trial-570_PCM-3""]",14.69252063,14.69252063,14.8052074,,,,,
"Any[""Trial-571_PCM-1"", ""Trial-571_PCM-2"", ""Trial-571_PCM-3""]",14.17335613,14.17335613,14.43150982,,,,,
"Any[""Trial-572_PCM-1"", ""Trial-572_PCM-2"", ""Trial-572_PCM-3""]",16.79881838,16.79881838,16.98066817,,,,,
"Any[""Trial-573_PCM-1"", ""Trial-573_PCM-2"", ""Trial-573_PCM-3""]",12.4540608,12.4540608,12.80210601,,,,,
"Any[""Trial-574_PCM-1"", ""Trial-574_PCM-2"", ""Trial-574_PCM-3""]",8.788898216,8.788898216,8.788898217,,,,,
"Any[""Trial-575_PCM-1"", ""Trial-575_PCM-2"", ""Trial-575_PCM-3""]",16.00653846,16.00653846,17.68780795,,,,,
