PCM_Identifiers,entani論文のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,ダミー,,,,,
"Any[""Trial-76_PCM-1"", ""Trial-76_PCM-2"", ""Trial-76_PCM-3""]",10.68277531,10.68277531,10.94092971,,,,,
"Any[""Trial-77_PCM-1"", ""Trial-77_PCM-2"", ""Trial-77_PCM-3""]",15.57152476,15.19937253,15.19937253,,,,,
"Any[""Trial-78_PCM-1"", ""Trial-78_PCM-2"", ""Trial-78_PCM-3""]",17.57779497,17.57779497,17.78625663,,,,,
"Any[""Trial-79_PCM-1"", ""Trial-79_PCM-2"", ""Trial-79_PCM-3""]",13.72651934,13.72651934,14.43008186,,,,,
"Any[""Trial-80_PCM-1"", ""Trial-80_PCM-2"", ""Trial-80_PCM-3""]",10.53674497,10.53674497,11.15334419,,,,,
"Any[""Trial-81_PCM-1"", ""Trial-81_PCM-2"", ""Trial-81_PCM-3""]",11.69129972,11.69129972,12.11274123,,,,,
"Any[""Trial-82_PCM-1"", ""Trial-82_PCM-2"", ""Trial-82_PCM-3""]",14.04708644,14.04708644,14.66657223,,,,,
"Any[""Trial-83_PCM-1"", ""Trial-83_PCM-2"", ""Trial-83_PCM-3""]",14.33407377,13.86294291,13.86294291,,,,,
"Any[""Trial-84_PCM-1"", ""Trial-84_PCM-2"", ""Trial-84_PCM-3""]",14.9777792,13.99961375,13.99961375,,,,,
"Any[""Trial-85_PCM-1"", ""Trial-85_PCM-2"", ""Trial-85_PCM-3""]",13.94541419,13.94541419,15.12325866,,,,,
"Any[""Trial-86_PCM-1"", ""Trial-86_PCM-2"", ""Trial-86_PCM-3""]",16.18914741,15.46934112,15.46934112,,,,,
"Any[""Trial-87_PCM-1"", ""Trial-87_PCM-2"", ""Trial-87_PCM-3""]",17.42234557,17.42234557,17.94258275,,,,,
"Any[""Trial-88_PCM-1"", ""Trial-88_PCM-2"", ""Trial-88_PCM-3""]",17.59276551,17.59276551,18.57756252,,,,,
"Any[""Trial-89_PCM-1"", ""Trial-89_PCM-2"", ""Trial-89_PCM-3""]",14.14508649,14.14508649,14.37036826,,,,,
"Any[""Trial-90_PCM-1"", ""Trial-90_PCM-2"", ""Trial-90_PCM-3""]",17.15046278,17.15046278,17.86598643,,,,,
"Any[""Trial-91_PCM-1"", ""Trial-91_PCM-2"", ""Trial-91_PCM-3""]",9.501688118,9.501688118,9.752892428,,,,,
"Any[""Trial-92_PCM-1"", ""Trial-92_PCM-2"", ""Trial-92_PCM-3""]",13.78953872,12.8824535,12.8824535,,,,,
"Any[""Trial-93_PCM-1"", ""Trial-93_PCM-2"", ""Trial-93_PCM-3""]",15.3520837,14.24785749,14.24785749,,,,,
"Any[""Trial-94_PCM-1"", ""Trial-94_PCM-2"", ""Trial-94_PCM-3""]",15.90624235,15.80497155,15.80497155,,,,,
"Any[""Trial-95_PCM-1"", ""Trial-95_PCM-2"", ""Trial-95_PCM-3""]",14.88218784,13.69318814,13.69318814,,,,,
"Any[""Trial-96_PCM-1"", ""Trial-96_PCM-2"", ""Trial-96_PCM-3""]",13.72073835,13.72073835,16.99396583,,,,,
"Any[""Trial-97_PCM-1"", ""Trial-97_PCM-2"", ""Trial-97_PCM-3""]",15.73056766,15.73056766,16.31870998,,,,,
"Any[""Trial-98_PCM-1"", ""Trial-98_PCM-2"", ""Trial-98_PCM-3""]",14.33406607,13.04574163,13.04574163,,,,,
"Any[""Trial-99_PCM-1"", ""Trial-99_PCM-2"", ""Trial-99_PCM-3""]",15.64808913,15.64808913,15.96825996,,,,,
