Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
2,3,0.3333333333333333,1.0,1.0,1.0,1.0,,0.0769230769230769,0.23076923076923092
2,3,1.0,1.0,1.0,1.0,3.0,,0.2307692307692303,0.2307692307692303
2,3,1.0,1.0,1.0,1.0,2.0,,0.23076923076923084,0.23076923076923092
2,3,1.0,1.0,0.3333333333333333,0.5,1.0,,0.07692307692307701,0.23076923076923106

3,1,1.0,2.0,1.0,1.0,1.0,,0.16666666666666546,0.22222222222222235
3,1,0.5,1.0,1.0,1.0,1.0,,0.11111111111111137,0.2222222222222216
3,1,1.0,1.0,1.0,2.0,2.0,,0.22222222222222227,0.33333333333333465
3,1,1.0,1.0,0.5,1.0,1.0,,0.1666666666666658,0.1666666666666658
3,1,1.0,1.0,0.5,1.0,1.0,,0.16666666666666585,0.16666666666666585

3,2,1.0,2.0,1.0,1.0,1.0,,0.2222222222222222,0.2222222222222222
3,2,0.5,1.0,1.0,1.0,1.0,,0.11111111111111117,0.2222222222222221
3,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222243,0.22222222222222243
3,2,1.0,1.0,1.0,1.0,2.0,,0.2222222222222222,0.2222222222222222
3,2,1.0,1.0,1.0,0.5,1.0,,0.11111111111111105,0.222222222222222

3,3,1.0,2.0,1.0,1.0,1.0,,0.22222222222222107,0.22222222222222263
3,3,0.5,1.0,1.0,1.0,1.0,,0.11111111111111105,0.22222222222222124
3,3,1.0,1.0,1.0,1.0,2.0,,0.22222222222222213,0.22222222222222246
3,3,1.0,1.0,1.0,1.0,1.0,,0.2222222222222223,0.2222222222222223
3,3,1.0,1.0,0.5,1.0,1.0,,0.11111111111111141,0.22222222222222154

4,1,1.0,4.0,1.0,1.0,1.0,,0.23529411764705888,0.23529411764705888
4,1,0.25,1.0,1.0,1.0,1.0,,0.058823529411764504,0.1764705882352937
4,1,1.0,1.0,1.0,2.0,2.0,,0.17647058823529382,0.235294117647059
4,1,1.0,1.0,0.5,1.0,2.0,,0.11764705882352933,0.23529411764705876
4,1,1.0,1.0,0.5,0.5,1.0,,0.11764705882352966,0.23529411764705888

4,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222196,0.22222222222222207
4,2,1.0,1.0,2.0,1.0,1.0,,0.2222222222222224,0.22222222222222252
4,2,1.0,0.5,1.0,1.0,2.0,,0.11111111111111108,0.22222222222222218
4,2,1.0,1.0,1.0,1.0,2.0,,0.22222222222222174,0.22222222222222174
4,2,1.0,1.0,0.5,0.5,1.0,,0.11111111111111141,0.2222222222222225

4,3,1.0,2.0,1.0,1.0,1.0,,0.2222222222222219,0.2222222222222219
4,3,0.5,1.0,2.0,1.0,1.0,,0.11111111111111087,0.22222222222222213
4,3,1.0,0.5,1.0,1.0,2.0,,0.11111111111111113,0.22222222222222268
4,3,1.0,1.0,1.0,1.0,2.0,,0.22222222222222193,0.22222222222222202
4,3,1.0,1.0,0.5,0.5,1.0,,0.11111111111111135,0.2222222222222226

5,1,1.0,4.0,1.0,1.0,1.0,,0.2222222222222219,0.2666666666666662
5,1,0.25,1.0,1.0,1.0,1.0,,0.06666666666666643,0.22222222222222202
5,1,1.0,1.0,1.0,1.0,1.0,,0.22222222222222213,0.22222222222222252
5,1,1.0,1.0,1.0,1.0,2.0,,0.2222222222222222,0.22222222222222235
5,1,1.0,1.0,1.0,0.5,1.0,,0.11111111111111147,0.22222222222222254

5,2,1.0,2.0,1.0,1.0,1.0,,0.22222222222222224,0.22222222222222224
5,2,0.5,1.0,1.0,1.0,1.0,,0.11111111111111127,0.22222222222222224
5,2,1.0,1.0,1.0,1.0,2.0,,0.22222222222222213,0.22222222222222224
5,2,1.0,1.0,1.0,1.0,2.0,,0.22222222222222207,0.22222222222222207
5,2,1.0,1.0,0.5,0.5,1.0,,0.1111111111111113,0.2222222222222222

5,3,1.0,2.0,1.0,1.0,2.0,,0.2222222222222223,0.2222222222222223
5,3,0.5,1.0,1.0,1.0,1.0,,0.11111111111111113,0.22222222222222215
